title,author,categories,publishing,isbn,description,orginalTitle,date,datePol,pages,lang,translator,comments,quotes
"
Tatry polskie i słowackie ",Barbara Zygmańska,"
poradniki ",Wydawnictwo SBM,,,,"
2019-01-01 ","
2019-01-01 ","
450 ","
polski ",,"

Warto zapoznać się z książką. Poza podstawowymi opisami górskich miejsc znajdują się tu jedne z piękniejszych krajobrazów i zdjęć Tatr. 

Warto zapoznać się z książką. Poza podstawowymi opisami górskich miejsc znajdują się tu jedne z piękniejszych krajobrazów i zdjęć Tatr. 



Pokaż mimo to


;

dla mnie troche za duzo suchych faktów, ale ilustracje bardzo malownicze, zdjecia bardzo ładne 

dla mnie troche za duzo suchych faktów, ale ilustracje bardzo malownicze, zdjecia bardzo ładne 



Pokaż mimo to


;

W tym obszernym i pięknym zarazem albumie znajdziemy opisy najciekawszych i najbardziej urokliwych zakątków Tatr. Autorka opracowania - Barbara Zygmańska jako doświadczony przewodnik górski wybrała dla nas te najpiękniejsze i najbardziej warte przemierzenia szlaki, a jak się okazuje jest ich w Tatrach całe mnóstwo. Zwróciła uwagę czytelnika nie tylko na same szczyty gór, ale też na turnie, doliny, przełęcze, stawy czy wodospady. Pokazała więc wszystko to co zobaczyć warto, co pozwoli nam zapomnieć o ulicznym garze, gdzie możemy szukać inspiracji i pooddychać pełną piersią... ;)

Na jednej rozkładówce znajduje się opis jednego do dwóch zakątków Tatr. Wskazana jest jego nazwa, informacja w której dokładnie części Tatr jest to miejsce oraz czy znajduje się ono po stronie polskiej czy słowackiej. Jeżeli mamy do czynienia ze szczytem to podana jest też jego wysokość. Poza tym w krótkim opisie znajdziemy dodatkowe wiadomości odnoszące się do danego miejsca, jego krótką charakterystykę, szlaki turystyczne prowadzące do niego, ich kolory. Oczywiście każde miejsce pokazane jest też na sporych rozmiarów kolorowej fotografii.

Album przybliża najpiękniejsze miejsca zlokalizowane w Tatrach. Nie jest typowym przewodnikiem, ale tak właściwie dzięki rzetelnym i konkretnym opisom umożliwia pasjonatom gór zlokalizowanie obiektu i szlaku który nas do niego poprowadzi. Zawiera wiele cennych dla turysty wskazówek, ciekawostek w tym także historycznych więc pozwala bliżej poznać Tatry. Wymienione w nim miejsca zamieszczono w kolejności alfabetycznej. Nie ma podziału na polskie i słowackie. Tatry są wszak tylko jedne. 

Ogólnie album robi fantastyczne wrażenie. Zachwyca już sama jego oprawa i choć nie ocenia się książki po okładce ta słusznie sugeruje, że i zawartość może zachwycić. Tak było właśnie w tym przypadku. Fotografie są rewelacyjne, a uchwycone na nich krajobrazy zachwycają pod każdym względem. W połączeniu z przystępnie napisanym tekstem publikacja wypada naprawdę świetnie. Gorąco ją Wam polecam ;) 

W tym obszernym i pięknym zarazem albumie znajdziemy opisy najciekawszych i najbardziej urokliwych zakątków Tatr. Autorka opracowania - Barbara Zygmańska jako doświadczony przewodnik górski wybrała dla nas te najpiękniejsze i najbardziej warte przemierzenia szlaki, a jak się okazuje jest ich w Tatrach całe mnóstwo. Zwróciła uwagę czytelnika nie tylko na same szczyty gór,... 

więcej



mniej





Pokaż mimo to


",
"
„Mam na Pana nowy zamach…”. Wybór korespondencji Jerzego Giedroycia z historykami i świadkami historii 1946-2000, t. 1 ",Sławomir M. Nowinowski,"
historia ",Wydawnictwo Uniwersytetu Łódzkiego,"
9788381423137 ","
Jerzy Giedroyc miał dwie pasje – politykę i historię. Przez ponad pół wieku konsekwentnie realizował własną politykę historyczną. Jego działalność w tym zakresie zmierzała do gruntownej rewizji historycznego imaginarium Polaków. W najogólniejszym sensie, dążenie to wyrastało z doświadczeń II Rzeczypospolitej i bolesnej lekcji II wojny światowej. Społeczną funkcję wiedzy o przeszłości Jerzy Giedroyc rozumiał jako krytyczny, wielogłosowy i wolny od wszelkich tematów tabu namysł nad przeszłością Polski, jej relacjami z sąsiadami oraz miejscem w Europie. Chciał, aby była to refleksja wolna od wszelkich „fanatyzmów narodowych, klasowych, rasowych, religijnych, obyczajowych”.

Prezentowana Czytelnikowi trzytomowa edycja korespondencji Jerzego Giedroycia z badaczami przeszłości i jej bohaterami została przygotowana w ramach projektu Narodowego Programu Rozwoju Humanistyki „Jerzy Giedroyc, historycy i świadkowie historii”. Składające się na nią listy z zasobu Archiwum Instytutu Literackiego w Paryżu nie były dotychczas publikowane. Zawierają nie tylko mniej lub bardziej poufne glosy do historiograficznych debat toczonych na łamach „Kultury” i „Zeszytów Historycznych”, zaprezentowanych przez edytorów w tomie W poszukiwaniu innej historii. Antologia tekstów opublikowanych na łamach periodyków Instytutu Literackiego w Paryżu (WUŁ, 2015). Odnaleźć w nich można również wiele nieznanych, a nawet sensacyjnych informacji o działalności krajowych i emigracyjnych placówek naukowych, warunkach życia i specyfice pracy dziejopisarzy oraz świadków historii, wreszcie o kulisach wydarzeń politycznych, społecznych i kulturalnych, których jedni i drudzy byli uczestnikami. ",,"
2019-01-01 ","
2019-01-01 ","
928 ","
polski ",,"

Ten bogaty wybór korespondencji z wieloma historykami jest kolejnym dowodem na nadludzką pracowitość Redaktora; wyróżnia się długa wymiana listów z Andrzejem Friszke, również niezmiernie pracowitym człowiekiem; z ciekawostek, znajdziemy też w książce list Jaruzelskiego do Giedroyca; pozycja dla amatorów. 

Ten bogaty wybór korespondencji z wieloma historykami jest kolejnym dowodem na nadludzką pracowitość Redaktora; wyróżnia się długa wymiana listów z Andrzejem Friszke, również niezmiernie pracowitym człowiekiem; z ciekawostek, znajdziemy też w książce list Jaruzelskiego do Giedroyca; pozycja dla amatorów. 



Pokaż mimo to


;

Pomieszczone w omawianym zbiorze listy pokazują, z jednej strony, energię, dobre chęci, świadomość, gotowość do pracy na rzecz Polski i prawdy, wykazywane przez polskich historyków emigracyjnych oraz Jerzego Giedroycia, jak i z drugiej ogrom złej woli, nieszczerości, prób zakłamywania dziejów, świadomego przeinaczania czy przemilczania niewygodnych faktów, obstrukcji, blokowania autorów i tekstów niewygodnych dla ówczesnej władzy, opieszałości środowisk emigracyjnych, brak na emigracji kompetentnych współpracowników, na co korespondenci wielokrotnie narzekali. Jest w tych listach dużo emocji, pasji, ale także m.in. urażonych ambicji, goryczy (jak wspomniano, także pod adresem Giedroycia, z którym część autorów nie potrafiła dojść do porozumienia). Emocje te wzbudzały wydarzenia, ludzie, ale także same teksty, procesy ich pisania, redagowania, omawiania i uzgadniania. Jest tu wreszcie wiele humoru i anegdot. Wszystko to zaprzecza obiegowym stereotypom, jakoby praca historyka była beznamiętna.

Czytaj całość na http://ohistorii.blogspot.com/2020/06/mam-na-pana-nowy-zamach.html 

Pomieszczone w omawianym zbiorze listy pokazują, z jednej strony, energię, dobre chęci, świadomość, gotowość do pracy na rzecz Polski i prawdy, wykazywane przez polskich historyków emigracyjnych oraz Jerzego Giedroycia, jak i z drugiej ogrom złej woli, nieszczerości, prób zakłamywania dziejów, świadomego przeinaczania czy przemilczania niewygodnych faktów, obstrukcji,... 

więcej



mniej





Pokaż mimo to


",
"
Jak to działa? Robale ",Anna Hnydka,"
popularnonaukowa dziecięca ",Wydawnictwo SBM,"
9788380597594 ","
Co to są robale? Jak wyglądają robale obłe? Czy glisty są niebezpieczne? Jeśli nurtują cię podobne pytania, to świetnie trafiłeś! Książka „Jak to działa? Robale” zawiera odpowiedzi na kilkadziesiąt pytań dotyczących życia tych niewielkich stworzeń. W sposób jasny i prosty wyjaśniamy to, co z pozoru skomplikowane. Pomagają w tym zabawne ilustracje. „Jak to działa? Robale” to kopalnia odpowiedzi na arcytrudne pytania! ",,"
2019-01-01 ","
2019-01-01 ","
80 ","
polski ",,"

Kupiłam, zachęcona wysokimi ocenami. Wg. mnie są na wyrost. 
Robaki, przedstawione mocno jednostronnie - tak naprawdę książka chyba powinna się nazywać 'pasożyty', skoro o nich jest 95 %...
Z pożytecznych wymieniono krótko mrówki i pszczoły.... reszta to szkodniki.
Rozczarowujące. 

Kupiłam, zachęcona wysokimi ocenami. Wg. mnie są na wyrost. 
Robaki, przedstawione mocno jednostronnie - tak naprawdę książka chyba powinna się nazywać 'pasożyty', skoro o nich jest 95 %...
Z pożytecznych wymieniono krótko mrówki i pszczoły.... reszta to szkodniki.
Rozczarowujące. 



Pokaż mimo to


;

Świetna 

Świetna 



Pokaż mimo to


",
"
Spotkajmy się w zasnem ",Małgorzata Lewandowska,"
literatura dziecięca ",Alegoria,"
9788362248070 ","
Najnowsza książka Barbary Mikulskiej „Spotkajmy się w Zasnem”, tym razem adresowana do dzieci 6-8 lat, wygrała tytuł najlepszej książki dla dzieci na wiosnę 2019 w konkursie portalu Granice.pl. O czym jest? O wyobraźni, która jest bardzo potrzebna. Bo życie nie zawsze jest wesołe, czasem bywa nudno, a czasem smutno (nawet dzieciom). Jest jednak kraina, gdzie ani nuda, ani smutek nie mają wstępu. To Kraina Zasnem. I właśnie do niej trafia siedmioletni Gabryś. Kogo tam pozna, z kim się zaprzyjaźni i jakie przygody przeżyje? Tego na razie nie zdradzimy, ale powiemy, że będzie kolorowo, wesoło, co nie znaczy, że zawsze… bezpiecznie. Bo cóż to by były za przygody bez dreszczyku emocji i strachu? ",,"
2019-01-01 ","
2019-01-01 ","
88 ","
polski ",,"

Dla mnie, osoby która była mocno gnębiona w czasach szkolnych, do tego stopnia, że niemal skończyło się to krytycznie w późniejszych latach, ta książka jest szalenie ważna. Pokazuje ona, że chłopcy potrafią marzyć, czuć, mieć emocje. Potrafią płakać i nie jest to wstyd. Że chłopcy też okazują emocje. To ważna książka i do tego świetnie napisana, przedstawiająca trudny temat w niezwykle przystępny sposób.

No i audiobooka czyta Janusz Zadura :)

Moja pełna recenzja na blogu W pajęczej sieci
http://wpajeczejsieci.blogspot.com/2020/02/spotkajmy-sie-w-zasnem.html 

Dla mnie, osoby która była mocno gnębiona w czasach szkolnych, do tego stopnia, że niemal skończyło się to krytycznie w późniejszych latach, ta książka jest szalenie ważna. Pokazuje ona, że chłopcy potrafią marzyć, czuć, mieć emocje. Potrafią płakać i nie jest to wstyd. Że chłopcy też okazują emocje. To ważna książka i do tego świetnie napisana, przedstawiająca trudny temat... 

więcej



mniej





Pokaż mimo to


;

Świetny pomysł, niezwykły magiczny klimat, ciekawe przygody, sympatyczni bohaterowie. 

Świetny pomysł, niezwykły magiczny klimat, ciekawe przygody, sympatyczni bohaterowie. 



Pokaż mimo to


;

Sympatyczna bajeczka dla dzieci i całej rodziny. 

Sympatyczna bajeczka dla dzieci i całej rodziny. 



Pokaż mimo to


",
"
Sacco di Roma ",Tomasz Bereźnicki,"
komiksy ",Klinika Języka,"
9788364197758 ","
Długo oczekiwany komiks autorstwa Tomasza Bereźnickiego według scenariusza Gabriela Maciejewskiego opowiadający o straszliwych miesiącach wiosny i lata roku 1527 kiedy to armia cesarza Karola V złożona ze sprotestantyzowanych Niemców, Hiszpanów i Włochów spaliła Stolicę Piotrową, mordując wielu jej mieszkańców. ",,"
2019-01-01 ","
2019-01-01 ",,"
polski ",,"

Najlepszy komiks jaki w życiu czytałem! A mam ich wiele na koncie (zwłaszcza z czasów studenckich). To wspólne arcydzieło Gabriela Maciejewskiego (scenariusz) i Tomasza Bereźnickiego (rysunki) poraża ogromem pracy i niesamowitym efektem końcowym. Nie mogę przejść obojętnie wokół historii opowiedzianej w tym komiksie. Oto mieszanka wojsk cesarza Karola V Habsburga, Hiszpanie- katolicy oraz Niemcy- luteranie, pod dowództwem Francuza Karola de Bourbon zdobywają w 1527 Rzym broniony przez garstkę żołnierzy z Gwardii Szwajcarskiej papieża Klemensa VII. Potem zabijają 12 tysięcy cywilnych mieszkańców Rzymu i grabią wszystko, co ma jakąkolwiek wartość. Gdzie to wszystko wylądowało, złoto, srebro i dzieła sztuki Wiecznego Miasta nie zdradzę!
Gratuluję obu autorom! Dziękuję za uwagę i serdecznie polecam!
Filmik-zwiastun tego komiksu z You tube (autor Tomasz Bereźnicki): 
https://www.youtube.com/watch?v=v_zV_CA1Yj4&feature=emb_title 

Najlepszy komiks jaki w życiu czytałem! A mam ich wiele na koncie (zwłaszcza z czasów studenckich). To wspólne arcydzieło Gabriela Maciejewskiego (scenariusz) i Tomasza Bereźnickiego (rysunki) poraża ogromem pracy i niesamowitym efektem końcowym. Nie mogę przejść obojętnie wokół historii opowiedzianej w tym komiksie. Oto mieszanka wojsk cesarza Karola V Habsburga,... 

więcej



mniej





Pokaż mimo to


",
"
Nie ma cnoty bez przyjemności. Życie moralne jako przyjaźń z Bogiem ",Jean-Marie Gueullette OP,"
religia ",W drodze ,"
9788379062362 ","
Koncepcja życia moralnego św. Tomasza jest pełna nadziei i pozbawiona formalizmu. Gueullette swoim wprowadzeniem do teologii moralnej Akwinaty obala stereotypowe wyobrażenia o średniowiecznej teologii.

„Nikt bowiem nie może żyć bez jakiejś zmysłowej i cielesnej przyjemności”.
św. Tomasz z Akwinu

W skrócie:
- teologia moralna daleka od przymusu, nakazów i zakazów – pean na cześć wolności,
- intelektualna przygoda,
- św. Tomasz nie straszy piekłem, nie wpędza w poczucie winy, ale pozwala odetchnąć,
- pełna polotu przystępna opowieść o okolicznościach tworzenia Sumy teologicznej.

Nie ma lepszego sposobu, by zwiedzić piękną katedrę, jaką jest Suma teologiczna św. Tomasza z Akwinu, i poznać jej ducha, niż uczynienie tego w towarzystwie rozmiłowanego w niej człowieka. Taka przechadzka pozwoli nam lepiej poznać myśl wielkiego teologa kierującego się czułą miłością do Chrystusa i człowieka oraz kontemplującego to, co w człowieku odbija Boży obraz. 

Święty Tomasz z Akwinu to jeden z największych teologów chrześcijańskich. Wierzył głęboko, że dobro jest tak fascynujące, iż poprowadzi nas ku kontemplacji Stwórcy i do bliskości z Nim. Ojciec Gueullette jako znakomity przewodnik bierze nas pod rękę i wprowadza w gmach jego teologii – teologii przyjaźni z Bogiem. Opowiada o duszy i ciele, szczęściu, sumieniu i grzechu. Tłumaczy, czym jest prawo, a czym łaska. Taka przechadzka pozwoli nam lepiej poznać myśl wielkiego teologa, kierującego się czułą miłością do Chrystusa i człowieka oraz kontemplującego to, co w człowieku odbija Boży obraz. Autor angażuje intelekt, jednocześnie pozwalając odetchnąć. ",,"
2019-01-01 ","
2019-01-01 ","
192 ","
polski ","
Agnieszka Kuryś ","

Warto przeczytać!

Jak napisał sam autor, książka jest wprowadzeniem do wprowadzenia do teologii moralnej św Tomasza z Akwinu. I rzeczywiście tak jest. Syntetycznie i sprawnie przechodzimy przez Summę, zgłębiając się w Tomaszową sztukę życia i poszukiwanie szczęścia. Ojciec Gueullette zachęca nas, jak mówi podtytuł, do przyjaźni z Bogiem.

Żeby było jasne, generalnie punkt wyjscia jest metafizyczny, a metafizyka nie jest łatwa. Człowiek to byt, który składa się z duszy i ciała, dusza to rozum i wola, rozum może być spekulatywny lub praktyczny itd. Autor raczej nie zderza się z myślą współczesną. Wątki psychologiczne, kwestie socjologiczne czy biologiczne jako przyczyna podejmowania takich, a nie innych decyzji tu nie występują.

Na koniec jedna rzecz, która mnie osobiście drażni, nie tylko w tej pozycji, ale ogólnie u współczesnych reprezentantów tradycji etyki cnót. Chodzi mi o samo pojęcie ""cnota"", które, jak sądzę, przeciętny odbiorca identyfikuje dziś z dziewictwem. Na starcie powoduje to, że duża część przekazu jest niezrozumiała. Tymczasem wydaje się że bez wielkich trudności można je dziś zastąpić czytelniejszym pojęciem ""dobry nawyk"" i jednocześnie niejako wpisać się w całą popularną i cenioną literaturę na temat nawyków (np. 7 nawyków skutecznego działania Coveya itd.). Paradoksalnie, w konkluzji książki cnotę i dobry nawyk się ze sobą utożsamia, choć przez większą jej część są to różne pojęcia. 

Warto przeczytać!

Jak napisał sam autor, książka jest wprowadzeniem do wprowadzenia do teologii moralnej św Tomasza z Akwinu. I rzeczywiście tak jest. Syntetycznie i sprawnie przechodzimy przez Summę, zgłębiając się w Tomaszową sztukę życia i poszukiwanie szczęścia. Ojciec Gueullette zachęca nas, jak mówi podtytuł, do przyjaźni z Bogiem.

Żeby było jasne, generalnie punkt... 

więcej



mniej





Pokaż mimo to


",
"
Bóg jest! Rozumowe dowody na istnienie Boga ",Feliks Cozel SJ,"
religia ",DeReggio,"
9788395138065 ","
Zwięzła i treściwa zarazem książeczka ks. Feliksa Cozela SJ (1847-1928) przybliża czytelnikowi w przystępny sposób podstawowe dowody na istnienie Boga, pierwszej przyczyny wszechświata i człowieka. Mimo upływu czasu, przykłady zaczerpnięte ze świata biologii i fizyki przez znanego polskiego jezuitę budzą podziw nad rozumnym urządzeniem najdrobniejszych aspektów życia na naszej planecie. ",,"
2019-01-01 ","
2019-01-01 ","
96 ","
polski ",,,
"
Piękny świdermajer ",Zbigniew Zbikowski,"
literatura obyczajowa, romans ",Edipresse,"
9788381771870 ",,,"
2019-01-01 ","
2019-01-01 ",,"
polski ",,"

Zaskoczenie. Po trzech tomach, których akcja rozkręca się z tomu na tom w latach pięćdziesiątych, następuje przeskok w czasy współczesne. Główna bohaterka pierwszych tomów, obecna właścicielka Moreny, schodzi na drugi plan, a akcja podąża za jej dalszą krewną, około trzydziestoletnią Zuzanną. Na karty sagi wkracza też trzecia bohaterka - 21-letnia Wioleta. Mamy więc współczesną powieść obyczajową osadzoną w polskich realiach i akcję, nad którą wiszą ponure cienie przeszłości, a wszyscy próbują sobie jakoś z nimi poradzić. Mamy też zgoła kryminalną intrygę, na razie tylko (jak się wydaje) lekko zarysowaną. Czyta się to miejscami jak powieści Chmielewskiej, miejscami jak Fleszarową-Muskat. I nie wiadomo, dokąd autor prowadzi, co oczywiście nie jest wadą powieści (na razie), a jej zaletą. 

Zaskoczenie. Po trzech tomach, których akcja rozkręca się z tomu na tom w latach pięćdziesiątych, następuje przeskok w czasy współczesne. Główna bohaterka pierwszych tomów, obecna właścicielka Moreny, schodzi na drugi plan, a akcja podąża za jej dalszą krewną, około trzydziestoletnią Zuzanną. Na karty sagi wkracza też trzecia bohaterka - 21-letnia Wioleta. Mamy więc... 

więcej



mniej





Pokaż mimo to


",
"
Generation X ",Chris Bachalo,"
komiksy ",Hachette Polska,"
9788328210011 ","
Gneration X:
Trzecia Geneza

Zejdźcie z drogi ruszającemu do boju Generation X, całkiem nowemu super zespołowi ! Nieopisanie silni, o nieograniczonym potencjale... ich potęga nie zna granic!

Zawiera: Generation X vol. 1 #1-6 ",,"
2019-01-01 ","
2019-01-01 ",,"
polski ","
Jakub Jankowski ","

Nędza, nędza, nędza... Kiepskie jest tu wszystko, rysunki, historia, bohaterowie. Nie czytajcie tego. 

Nędza, nędza, nędza... Kiepskie jest tu wszystko, rysunki, historia, bohaterowie. Nie czytajcie tego. 



Pokaż mimo to


",
"
Mechanizm. Polska 1989-2019 ",Mariusz Forecki,"
albumy ",PIX.HOUSE,"
9788365133298 ","
Jacy byliśmy? Jak wyglądał nasz kraj, a jak żyje się teraz? „Mechanizm” to fotograficzna opowieść, dzięki której nie tylko możemy zobaczyć, ale także postarać się zrozumieć i docenić jak zmienił się nasz kraj w latach 1989-2019.

Wszystko dojrzewało powoli, wstydliwie, w cieniu brudnych bram domów. Czaiła się tam niepewność, czy cienki zwitek dolarów kupiony za roczną pensję, nie okaże się pociętą, komunistyczną gazetą i czy nie jest to prowokacja. Później – kilkudniowe stanie w kolejce po paszport i pierwsze wybory, nazwane trochę na wyrost „wolnymi“. I dworzec kolejowy, pachnący jeszcze brudnym wagonem drugiej klasy w nocnym pociągu relacji Szczecin-Przemyśl.

Polska na zdjęciach Foreckiego to tytułowy mechanizm. Autor nie ocenia, raczej jest dogłębnym obserwatorem rzeczywistości – tej szarej, zwykłej oraz tej „ważniejszej” – z pierwszych stron gazet. Ukazuje ją jednak nie wprost – jak zwykło się drukować ją w prasie. Sporo jest w Foreckim socjologa – dokumentalisty – dużo więcej niż fotoreportera. Opowieść zaczyna się w późnych latach osiemdziesiątych, szarość ulicy zamienia się w kolor nieprzewidywalnych lat dziewięćdziesiątych i dociera współczesności.

Publikacja została książką roku Grand Press Photo, zdobyła wyróżnienie na Pictures of the Year International. Głosami czytelników zajęła drugie miejsce w plebiscycie Fotopolis. ",,"
2019-01-01 ","
2019-01-01 ","
240 ","
polski ",,,
