title,author,categories,publishing,isbn,description,orginalTitle,date,datePol,pages,lang,translator,comments,quotes
"
Kalifornia.Michelin ",praca zbiorowa,"
turystyka, mapy, atlasy ",Helion,"
9788328322196 ","
Michelin zaprasza Cię do wspólnego odkrywania najpiękniejszych zakątków Kalifornii.Z tym przewodnikiem zwiedzanie będzie prawdziwą przyjemnością.Dokładne mapy ułatwią swobodne poruszanie się po regonie.Szukasz ciekawych miejsc,zabytków i tras zwiedzania?Nic prostrzego!Dzięki gwiazdkom przy nazwach miast i obiektów nie pominiesz żadnej turystycznej atrakcji.Starannie dobrane informacje praktyczne pomogą Ci znaleźć nocleg,restaurację czy kawiarnię,w której spędzisz wyjątkowe chwile. ","
Kalifornia. ","
2016-01-01 ","
2016-01-01 ","
168 ","
polski ","
Justyna Nowakowska ",,
"
Od Pawła do Bartłomieja. Kościół w Europie południowo-wschodniej ",Konrad Kuczara,"
historia ",Wydawnictwo Naukowe Sub Lupa,"
9788364003554 ","
Książka jest monumentalną monografią chrześcijaństwa tradycji bizantyńskiej na tych obszarach, obejmującą zwięzłą historię Kościoła bizantyńskiego w jego relacjach do Kościoła Słowian Południowych oraz Rumunów zamieszkujących Siedmiogród, Mołdawię i Wołoszczyznę, a także w złożonych relacjach do Kościoła łacińskiego, wreszcie do Porty Otomańskiej. Klarowne objaśnienie splotu czynników teologicznych, etnicznych, społecznych i politycznych pozwala na lepsze zrozumienie sytuacji Kościoła prawosławnego oraz Kościołów unickich na tych terenach w dobie współczesnej.

Jest to praca syntetyczna, łącząca problematykę chrześcijaństwa wschodniego na Bałkanach w jedną spójną całość, uwzględniającą różne, często sprzeczne ze sobą tradycje i rozmaite punkty widzenia. Jest w Polsce unikalna. Trzeba powiedzieć, że jest to synteza bardzo wyważona, zachowująca właściwe proporcje, zarówno w kwestiach etnicznych, jak teologicznych, kulturowych i społecznych, a przy tym pisana z wyraźnym zaangażowaniem ekumenicznym. Książka może okazać się niezbędnym przewodnikiem dla wszystkich zainteresowanych tematyką chrześcijańskiego Wschodu, historią prawosławia na Bałkanach, problematyką relacji bizantyńsko-łacińskich w perspektywie historycznej i współczesnej.

Z recenzji ks. bpa Michała Janochy, prof. UW



Konrad Kuczara. Ukrainista, nowogrecysta, historyk, adiunkt w Wydziale „Artes Liberales” UW. Od 2002 roku związany z filologią nowogrecką. Był stypendystą Rządu Greckiego, Uniwersytetu Ateńskiego, Kijowskiego oraz Uniwersytetu w Strasburgu.

Jego zainteresowania naukowo-badawcze związane są z historią i współczesną sytuacją prawosławia na świecie. W kręgu tych zainteresowań znajdują się także kultury pogranicza, językoznawstwo, teologia, liturgika i religioznawstwo. Jest autorem wielu publikacji z zakresu historii Kościoła wschodniego. W 2012 roku ukazała się jego książka Grecy w Kościołach Wschodnich w Rzeczypospolitej (1585–1621). ",,"
2016-01-01 ","
2016-01-01 ","
536 ","
polski ",,"

Kompetentnie napisana praca na temat prawosławia bizantyńskiego, greckiego i bałkańskiego. Ujęcie syntetyczne przewidziane chyba bardziej dla czytelnika słabo zaznajomionego z problematyką, niemniej na pewno przydatne. Początkowe partie książki są tak naprawdę skrótem historii Kościoła (niepodzielonego jeszcze), potem dopiero narracja wyraźniej się ""orientalizuje"", a potem dzieli na poszczególne państwa znajdujące się w kręgu oddziaływania tradycji bizantyńskiej. Układ chronologiczny pozwala lepiej uchwycić zachodzące przemiany, które w sferze kościelnej były ściśle związane ze sprawami wielkiej polityki oraz stopniowo zachodzącymi zmianami społecznymi i etnicznymi. Moim zdaniem do najciekawszych partii pracy należą te, w których pojawia się kwestia autokefalii i tzw. etnofiletyzmu, czyli zagadnień związanych z podziałami w ramach Cerkwi prawosławnej. Praca doprowadzona jest do drugiej dekady XXI w., zatem prezentuje dość aktualny stan rzeczy: ostatni rozdział może być wręcz uznany za rodzaj przewodnika po współcześnie istniejących Cerkwiach prawosławnych i unickich Bałkanów.

Tomasz Babnis 

Kompetentnie napisana praca na temat prawosławia bizantyńskiego, greckiego i bałkańskiego. Ujęcie syntetyczne przewidziane chyba bardziej dla czytelnika słabo zaznajomionego z problematyką, niemniej na pewno przydatne. Początkowe partie książki są tak naprawdę skrótem historii Kościoła (niepodzielonego jeszcze), potem dopiero narracja wyraźniej się ""orientalizuje"", a... 

więcej



mniej





Pokaż mimo to


",
"
Teatrzyki z morałem czyli Rady nie od parady IV ",Małgorzata Strzałkowska,"
 interaktywne, obrazkowe, edukacyjne ",Czarna Owca,"
9788380156166 ","
Przedstawiamy kolejny, czwarty już tom cyklu RADY NIE OD PARADY.

Poszczególne utwory, z których każdy kończy się morałem, łączy forma - wszystkie przeznaczone są do wystawiania na scenie. Wśród bohaterów inscenizacji znajdziemy króla Gnata, imć Twardowskiego, królewnę o dziwnych upodobaniach, zbójców, kozę, która wybrała się na wycieczkę do Paryża, i wiele innych postaci.

Teksty rozpisane są na role, a w przedstawieniach może brać udział nawet spora gromadka młodych aktorów. To znakomita nauka przez zabawę. Zapraszamy! ",,"
2016-01-01 ","
2016-01-01 ","
112 ","
polski ",,"

Czy jako dzieci lubiliście bawić się w teatrzyk?
Dlaczego by nie praktykować teraz tego z dziećmi.
Z pomocą może przyjść nam ta książka, ale nie tylko.
Możemy czytając ją pobudzać wyobraźnię dziecka poprzez odtwarzanie wątku sytuacyjnego.
Każdy wierszyk, scenka zakończona jest morałem.
Książka uczy jak należy zachowywać się w teatrze, pojęć z nim związanych.
Jest to kolejny tom z cyklu Rady nie od parady, który to poprzez zabawę uczy wielu wartościowych rzeczy,pojęć, zachowań 

Czy jako dzieci lubiliście bawić się w teatrzyk?
Dlaczego by nie praktykować teraz tego z dziećmi.
Z pomocą może przyjść nam ta książka, ale nie tylko.
Możemy czytając ją pobudzać wyobraźnię dziecka poprzez odtwarzanie wątku sytuacyjnego.
Każdy wierszyk, scenka zakończona jest morałem.
Książka uczy jak należy zachowywać się w teatrze, pojęć z nim związanych.
Jest to... 

więcej



mniej





Pokaż mimo to


",
"
Samolot myśliwski PZL.7 ",Wojciech Mazur,"
militaria, wojskowość ",Edipresse,"
9788379450534 ","
""Wielki Leksykon Uzbrojenia Wrzesień 1939"" to unikatowe wydawnictwo przedstawiające najciekawsze przykłady uzbrojenia Wojska Polskiego w kampanii 1939 roku. Po raz pierwszy zebraliśmy w jednej serii szczegółowy opis polskiego oręża, którym polscy żołnierze w 1939 roku próbowali wykonać niewykonalny wówczas rozkaz - obronę Ojczyzny. Zapraszamy do poznania historii uzbrojenia Wojska Polskiego z 1939 roku oraz osiągnięć polskiej myśli technicznej dwudziestolecia międzywojennego, z których do dziś dumne są następne pokolenia Polaków. ",,"
2016-01-01 ","
2016-01-01 ","
64 ","
polski ",,,
"
Gazeta magnetofonowa nr 4 - 2016 ",Redakcja Gazety magnetofonowej,"
czasopisma ",Trzecie Ucho,"
24504645 ","
Temat numeru: Słowo
O filomatach, którzy rapują i pisarzach, którzy żałują, że nie śpiewają. Profesor Bańko o skrzydlatych słowach, Filip Łobodziński o tym, dlaczego lepiej znać Dylana. Krzysztof Varga mówi nam, że już nie jest fanem, a Jakub Żulczyk – czego prawdziwy fan wymaga. O językach, które nie istnieją i o dziadach, którzy śpiewają.
Wywiady z Leskim o ryzyku i z Fiszem o porządkowaniu chaosu. Gabą Kulką o kruchości, którą trzeba pielęgnować i z Decapitated o brutalnej muzyce i brutalnym życiu. Kortez przeliterowany, Hatti Vatti w podróży, Tides From Nebula na budowie, Shy Albatross cierpiący, Resina au naturel. Super Girl Romantic Boys się buntują, TRYP czuje, że żyje, a Kraków – wiadomo – piękny, trochę śmierdzi. 
Jest wrzesień, więc pochylamy się nad edukacją muzyczną i wspominamy przeboje szkolnych dyskotek. Sprawdzamy, co chodzi z Męskim Graniem, kto stoi za Banda Nella Nebbia i czy aby Polish Jazz na pewno not dead.
Są felietony Mesa, Pablopavo, Szydłowskiej, Mrozowickiej i Hronowskiego, jest mnóstwo recenzji i oczywiście komiks.
Jest też Krzyżówka z Tekstem… tym razem z nagrodą. ",,"
2016-01-01 ","
2016-01-01 ","
102 ","
polski ",,,
"
Dziesięć osób, które powinien znać chrześcijanin ",Warren Wiersbe,"
religia ",Szaron,"
9788363271756 ","
Znajdź siłę w ich historiach.

Wszyscy potrzebujemy inspiracji, by prowadzić życie, które będzie przynosiło chwałę Bogu. Kiedy nasza wiara słabnie lub presja świata wydaje się być wszechogarniająca, przypominanie sobie wielkich mężczyzn i kobiety z przeszłości może nas zainspirować do odnowienia sił i celu. Nasze duchowe zmagania nie są niczym nowym, a historie tych, którzy szli przed nami, mogą pomóc nam w drodze do naszych własnych zwycięstw.
„Dziesięć osób, Które powinien znać Każdy Chrześcijanin” daje nam spojrzenie na życie takich ludzi, jak:
Matthew Henry
Jonathan Edwards
John Henry Newman
J.B. Lightfoot
J. Hudson Taylor
Charles H. Spurgeon
Dwight L. Moody
Amy Carmichael
Oswald Chambers
A.W. Tozer

Zestawiając historie tych dziesięciu wiernych mężczyzn i kobiet, drogi autor, Warren W. Wiersbe, oferuje nam wgląd w ich życie oraz zachęcenie na czas niepewnej życiowej podróży.

Warren W. Wiersbe jest byłbym pastorem Kościoła Moody i autorem lub kompilatorem ponad 150 książek, łącznie z On Being a Servant of God i The Bups Are What You Climb On. Mieszka wraz żoną, Betty, w Lincoln, w Nebrasce, gdzie nadal pisze i inspiruje pastorów. ","
10 Power Principles for Christian Service ","
2016-01-01 ","
2016-01-01 ","
172 ","
polski ","
Krzysztof Rączkowiak ","

Jedna z najgorszych książek, którą czytałem. Auto skacze chaotycznie z tematu na temat, całe czas bredzi i narzeka jaki Kościół w dziesiejszych czasas jest do bani no i czasami wiecej się człowiek dowie o książkach na temat bohatere, niż o bohaterze. Bardzo słabo. 

Jedna z najgorszych książek, którą czytałem. Auto skacze chaotycznie z tematu na temat, całe czas bredzi i narzeka jaki Kościół w dziesiejszych czasas jest do bani no i czasami wiecej się człowiek dowie o książkach na temat bohatere, niż o bohaterze. Bardzo słabo. 



Pokaż mimo to


",
"
Świętokrzyski raj geologiczny. Przewodnik dla miłośników geoturystyki ",Jerzy Jędrychowski,"
turystyka, mapy, atlasy ",Georaj,"
9788393203369 ","
Autor opracowania zawarł w przewodniku wiele interesujących ciekawostek geologicznych, górniczych i archeologicznych. Załączona tabela stratygraficzna i słowniczek ułatwiają czytelnikowi zrozumienie niektórych terminów geologicznych. Kolejną zaletą opracowania jest opis najważniejszych naturalnych i sztucznych odsłonięć warstw skalnych oraz stanowisk występowania minerałów i skamieniałości na obszarze Gór Świętokrzyskich.

""Przewodnik dla miłośników geoturystyki"" jest bardzo dobrym przykładem popularyzacji geologii wśród społeczeństwa. Jednocześnie zmusza on do refleksji nad bogatym dziedzictwem geologiczno-górniczym i hutniczym regionu świętokrzyskiego oraz stanowi inspirację do pogłębiania wiedzy z zakresu geologii. ",,"
2016-01-01 ","
2016-01-01 ","
124 ","
polski ",,,
"
Dziecięce menu dla całej rodziny - 160 przepisów na zdrowe i smaczne dania nie tylko dla dzieci ",Dagmar von Cramm,"
kulinaria, przepisy kulinarne ",Jedność,"
9788379714209 ","
We współczesnym świecie pełnych półek w sklepach spożywczych, łatwej dostępności produktów ze wszystkich krajów naszej planety oraz powszechności gotowych dań i fast foodów pojawił się problem będący znakiem naszych czasów: jak karmić dzieci, by jadły nie tylko smacznie i do syta, ale przede wszystkim zdrowo. Wielu rodziców martwi się dziećmi niejadkami albo trudzi się nad daremnymi próbami przekonania pociechy, by jadła coś więcej niż ciągle kilka tych samych dań, wcale zresztą niekoniecznie wartościowych odżywczo. Tymczasem dzieci potrzebują odpowiednio zbilansowanego żywienia, by mogły zdrowo się rozwijać, być sprawne i mądre. Niniejsza książka jest odpowiedzią na te problemy. Dzięki niej można urozmaicić domowe posiłki całej rodziny o potrawy smaczne, pożywne, różnorodne, kolorowe i zachęcające dziecko do jedzenia, a także łatwe i szybkie w przygotowaniu. Nie oszukujmy się bowiem - dostępność składników oraz czas przygotowania danej potrawy też stanowią dziś ważne kryterium. Ponieważ wzorzec dorosłych jest najlepszym treningiem odżywiania, ważne jest, by rodzice odkryli, jak ogromną przyjemność może sprawiać wspólne poznawanie przy rodzinnym stole kolorowego świata różnorodnych smaków i zapachów. ",,"
2016-01-01 ","
 2016-01-01 ","
168 ","
polski ",,,
"
National Geographic Polska. 10 niesamowitych historii ",Redakcja magazynu National Geographic,"
czasopisma ",Burda Publishing Polska,"
15075966 ","
W treści:
Zaginiony w puszczy
Przerwany lot
Długi powrót do domu
Łowca krokodyli
Wszystko za góry
Pogromca gwiazd
Wielki błękit
Życie w prezencie
Samotna królowa pustyni
Na pokładzie grata dookoła świata ",,"
2016-01-01 ","
2016-01-01 ","
82 ","
polski ",,,
"
Oddani bez granic ",Heidi Baker,"
filozofia, etyka ",Wydawnictwo Dawida,"
9788377520574 ","
Heidi i Rolland Bakerowie napisali książkę, którą będziesz czytał przez cały rok. 
""Oddani bez granic"" to rozmyślania na każdy dzień, pisane z perspektywy 
misjonarzy od lat przebywających w Mozambiku w wyjątkowo trudnych 
okolicznościach, którzy nauczyli się żyć dzień po dniu z radością i cudami Bożego 
działania. Inspiracje kierowane do nas przez tych dwoje niezwykłych ludzi mogą 
kształtować nasze poznanie i życie z Tym, który jednych wysyła daleko, a innym 
daje misję w najbliższym sąsiedztwie. ","
Reckless Devotion: 356 Days into the Heart of Radical Love ","
2016-01-01 ","
2016-01-01 ","
384 ","
polski ","
Ksenia Styczyńska ",,
