title,author,categories,publishing,isbn,description,orginalTitle,date,datePol,pages,lang,translator,comments,quotes
"
św Gemma Galgani ",Gemma Galgani,"
biografia, autobiografia, pamiętnik ",Fundacja Żywe Słowo,"
9788394510732 ","
Autobiografia i Dziennik – niezwykłe świadectwo cudów, których Bóg dokonał w św. Gemmie Galgani Kościół wyniósł do chwały ołtarzy wiele osób, aby dać przykład do naśladowania braciom i siostrom, którzy kroczą przez ziemię w pielgrzymce wiary na spotkanie z Chrystusem w domu Ojca. Poznanie życia świętych Pańskich przybliża nam tajemnicę Jezusa, Odkupiciela człowieka. Ci niezwykli świadkowie wiary ukazują, że życie ludzkie przeżywane w komunii z Bogiem ma wielki sens. Postępowanie zgodne z nauką Chrystusa daje szczęście doczesne, a po śmierci – również wieczne. Niejednokrotnie wiąże się ono jednak z ofiarą, wyrzeczeniem, ascezą, walką z pokusami, nawróceniem, jednym słowem tym wszystkim, co Kościół proponuje każdemu człowiekowi, aby ten ściślej zjednoczył się z jego Głową, Synem Człowieczym. ","
Autobiografia . Dziennik św. Gemma Galgani ","
2013-01-01 ","
2013-01-01 ","
132 ","
polski ",,"

Dlaczego Gemma ? Dlaczego mieszkanka ulicy ""Wężowej"" ? U zarania nowego stulecia ? Widywała Matkę Boską (w soboty), Jezusa i oczywiście swojego Anioła Stróża. Jej związki z nim są często wręcz zabawne. Jej Anioł potrafił się śmiać i żartować. Dla obrony przed diabłem obdarzono ją relikwiami Krzyża Świętego. 
Kościół ma taki potencjał ... Jest tylu niedocenianych bądź niepotrzebnie zapomnianych świętych. Zamiast tego mam wrażenie, że ostatnio zajmuje się bardziej jakimiś głupstwami, a nie tym co trzeba. 
Idealne na prezent dla Pierwszokomunijek. 

Dlaczego Gemma ? Dlaczego mieszkanka ulicy ""Wężowej"" ? U zarania nowego stulecia ? Widywała Matkę Boską (w soboty), Jezusa i oczywiście swojego Anioła Stróża. Jej związki z nim są często wręcz zabawne. Jej Anioł potrafił się śmiać i żartować. Dla obrony przed diabłem obdarzono ją relikwiami Krzyża Świętego. 
Kościół ma taki potencjał ... Jest tylu niedocenianych bądź... 

więcej



mniej





Pokaż mimo to


;

Cudowna! 

Cudowna! 



Pokaż mimo to


",
"
Lewy horyzont kobiety ",Agnieszka Anna Grzelczak,"
poezja ",Kontekst,"
9788362564323 ",,,"
2013-01-01 ","
2013-01-01 ",,"
polski ",,"

Wiersze. Tomiki poezji. Nigdy nie pałałam do nich nienawiścią. Nigdy też nie były mi jakoś szczególnie bliskie. Czasami chwyciłam jeden, czy drugi, aby się trochę ""odmóżdżyć"" od tych wszystkich romansów, sci-fi, czy paranormali. Czasem, nie znaczy często. ""Lewy horyzont kobiety"" to miała być jedna z takich ""odmóżdżających"" lektur właśnie. Ale czy taka się stała. No nie do końca. Przede wszystkim dlatego, że już od początku miałam co do niej małe wątpliwości, ale o tym za chwilę. Zacznijmy od początku.

Autorką jest młoda poznanianka, absolwentka WSB w Poznaniu. Mix wrażliwej i twardo stąpającej po ziemi kobiety. Nic więc dziwnego, że postanowiła wydać tomik wierszy i to jeszcze o tak osobliwej tematyce i odważnym tytule.

Jeśli chodzi o tytuł to tak po prawdzie tutaj muszę przyznać, że jest dość odważny - nie zdziwiłby mnie jednak fakt, jakby większość czytelników zwyczajnie nie wiedziała o co chodzi. Dla tych ""nieuświadomionych"" mogę tylko dodać, iż ""lewa kobieta"" oznacza zwyczajnie kobietę homoseksualną. Nie muszę chyba wspominać, jak do tej tematyki odnosi się większość naszego społeczeństwa - chociaż z roku na rok widać, pod tym względem jest coraz to mniej kontrowersyjne.

""Lewy horyzont kobiety"" to tak naprawdę opowieść o przysłowiowym wyjściu z ukrycia, szalonej miłości, nutki erotyzmu, uczuciach - ale nie tylko. Niestety, chcąc, nie chcąc ciężko jest spojrzeć na ten zbiór, jako na całość, gdyż zakres tematyczny jest tak szeroki i różnorodny, że aż chwilami do siebie niepasujący. Gdy zagłębiałam się w lekturę coraz bardziej, miałam wrażenie, że niektóre z tych utworów są zwyczajnie niepotrzebne, a co gorsza, nijak nie przypominające prawdziwej twórczości poetyckiej. Dodając do tego fakt, iż niekoniecznie są one ze sobą spójne, działa to niestety na niekorzyść wydania.

Co prawda większość z nich niosą ze sobą naprawdę ciekawe przesłania, jednak to wciąż trochę za mało. Owszem, należę do osób wybrednych i się z tym nie kryję. Ale w tym wypadku to akurat nie o to chodzi. Dla mnie tomik poezji powinien być prostolinijny i przede wszystkim zgrany. Jeden wiersz powinien wychodzić z drugiego, a ich przesłania powinny się w pewien sposób ze sobą łączyć nadając temu głębszy sens, a tutaj niestety tego brakuje - pomijając już główne przesłanki, jakie miała autorka na początku.

Czy było coś, co rzeczywiście mnie zachwyciło lub porwało w tej lekturze? Owszem. Pomijając fantastyczną oprawę graficzną - zarówno przyciągającą wzrok okładkę, jak i zdjęcia, które można zobaczyć prawie przy każdym wierszu (zarówno autorstwa samej autorki, jak i pozostałej dwójki), to muszę przyznać, że spodobały mi się konkretnie dwa z czterdziestu liryków - ""Właśnie dziś"" oraz ""Jak sobie pościelisz"". Według mnie to chyba najlepsze z nich wszystkich, głównie dlatego, że są bardzo dobitne i przede wszystkim niosą ze sobą głębszy sens.

Ogólnie rzecz biorąc to trudno jest mi tę lekturę jakkolwiek wycenić. Z jednej strony ma wady, ale nie jest bez zalet i nie mam zamiaru spisać jej na straty. Jest to lektura o tyle prawdziwa, że większość z nich można sobie przełożyć na realny świat i szarą codzienność. Być może jest w niej jeszcze coś, czego ja nie dostrzegam. Póki co mogę tylko powiedzieć tyle: Ciekawa to może i ona jest, ale mimo wszystko nie jest to coś, co mogłabym nazwać młodą Szymborską. Jak dla mnie coś nowego, coś innego, choć niezbyt wyróżniającego się. Dobre do poczytania w wolne popołudnie i zastanowienia się na czym to nasz świat stoi. 

Wiersze. Tomiki poezji. Nigdy nie pałałam do nich nienawiścią. Nigdy też nie były mi jakoś szczególnie bliskie. Czasami chwyciłam jeden, czy drugi, aby się trochę ""odmóżdżyć"" od tych wszystkich romansów, sci-fi, czy paranormali. Czasem, nie znaczy często. ""Lewy horyzont kobiety"" to miała być jedna z takich ""odmóżdżających"" lektur właśnie. Ale czy taka się stała. No nie do... 

więcej



mniej





Pokaż mimo to


","
Ten niedrogi lek - rzeczywistość. ;
Odległość przecież nic nie znaczy
Kiedy ktoś znaczy dla ciebie wszystko. ;
Wszelkie życiowe decyzje trzeba podejmować odważnie. Czasem odwaga ta graniczy z szaleństwem, zawsze jest jednak próbą pokonywania własnych ograniczeń. "
"
Kołakowski [pytania]. Minibook. ",Leszek Kołakowski,"
publicystyka literacka, eseje ",Znak,"
9788324028382 ","
Wybór najlepszych tekstów z ponad 60 letniej historii miesięcznika „Znak” z okazji wydania 700.numeru! O przemocy | Uwaga o modernizmie | Prawda i wolność, co pierwsze? | Gdzie jest miejsce dzieci w filozofii liberalnej | Wybór tekstów Leszka Kołakowskiego z okazji 700 wydania miesięcznika 'Znak' ","
Kołakowski [pytania]. Minibook. ","
2013-01-01 ","
2013-01-01 ",,"
polski ",,,
"
Dysbakterioza ",Genady Garbuzow,"
zdrowie, medycyna ",Alter Med,"
9788393153763 ","
Dysbakterioza to nie tylko zaburzenie składu mikroflory jelit, lecz również wszystkie choroby bakteryjne poza jelitem grubym, w większości przypadków stanowiące wtórny objaw pierwotnej dysbakteriozy jelitowej. Można do nich zaliczyć infekcje dróg urogenitalnych, oddechowych, infekcje trzustki, dwunastnicy, pęcherzyka żółciowego oraz zapalenia wszystkich błon śluzowych, skóry itd. 
Według danych Rosyjskiej Akademii Nauk Medycznych, rozpowszechnienie różnych postaci dysbakteriozy wśród ludności osiągnęło skalę katastrofy narodowej, obejmując ponad 90 procent dorosłych obywateli i ponad 25 procent niemowląt. Podobna sytuacja występuje na całym świecie. W Niemczech podczas badania dużej grupy ludności dysbakteriozę wykryto w 97 procentach przypadków. 
Zresztą w niektórych przypadkach, kiedy jelita przez długi czas pracują w nienaturalnych warunkach, adaptują się do ""obcego pokarmu"", tak że podczas powrotu człowieka do zdrowego odżywiania się organizm reaguje w sposób przeciwny do oczekiwanego. Dla człowieka staje się nieprzyjemny naturalny dla niego pokarm. Nie rozumie on, dlaczego cierpi na zgagę i niestrawność, skoro spożywa zdrowy pokarm, a z kolei po pochłonięciu konserwy odczuwa euforię. ",,"
2013-01-01 ","
2013-01-01 ","
231 ","
polski ",,,
"
Pandamonium w ZOO pana Pikulika ",Kevin Waldron,"
literatura dziecięca ",Łajka,"
9788363671044 ","
W zoo pana Pikulika urodziła się mała panda i w związku z tym odbędzie się tam parada zwierząt!

Lecz gdy w końcu nadchodzi ten ważny dzień, w zoo pana Pikulika nie wszystko jak w zegarku tyka, a sam dyrektor z nerwów ślinę łyka!

Czy pechowy pan Pikulik tym razem naprawdę wpakował się w prawdziwe tarapaty? Czy z pomocą swojego syna Janka uda mu się uratować zoo przed absolutnym PANDAMONIUM? ","
Pandemonium at Peek Zoo ","
2013-01-01 ","
2013-01-01 ","
40 ","
polski ","
Anna Błasiak ",,
"
O osobliwościach polskiej historii wojskowości ",Jerzy Maroń,"
historia  ",Chronicon,"
9788393576098 ","
Praca została pomyślana jako studium z historii polskiej historiografii militarnej, a zwłaszcza jej grzechów przybierających postać tytułowych osobliwości. obejmuje ona trzy kręgi dyskusji: o pojęciu i strukturze historii wojskowości oraz jej związku z naukami wojskowymi (rozdziały I i II); o paranaukowych obrazach znaczących w polskiej pamięci średniowiecznych batalii Cedyni, Psiego Pola, Legnicy i Grunwaldu i wczesnośredniowiecznej wojskowości polskiej (rozdział III); o efektach studiów nad dawną historia militarną operatorów i humanistów wojskowych (rozdziały IV i V). ",,"
2013-01-01 ","
2013-01-01 ","
326 ","
polski ",,"

Dzieło demaskujące błędy i wypaczenia występujące w dorobku polskiej historii wojskowości. Bardzo pouczająca lektura, momentami śmieszno-straszna. Szczególnie warta polecenia osobom zaznajomionym z polskim pisarstwem historycznym. 

Dzieło demaskujące błędy i wypaczenia występujące w dorobku polskiej historii wojskowości. Bardzo pouczająca lektura, momentami śmieszno-straszna. Szczególnie warta polecenia osobom zaznajomionym z polskim pisarstwem historycznym. 



Pokaż mimo to


",
"
Więzi wspólnoty. Literatura-religia-komparatystyka ",Piotr Bogalecki,"
filozofia, etyka ",FA-art,"
9788360406366 ","
Współczesne postsekularne zainteresowanie religią – nieredukowalne do prostodusznie, jeśli nie wręcz prostacko, pojmowanego jej „powrotu” – wydaje się nam inspirujące i warte kontynuacji, a jednocześnie wymagające rzetelnej refleksji nad jego przyszłością, przebiegiem i przyczynami. W efekcie zasygnalizowany w tytule monografii niniejszej splot (a może i supeł…) problemów i dyskursów jawi się zarazem jako obiecujący, jak i jako niezwykle złożony. Zdajemy sobie sprawę, że zaciskając się wciąż bardziej i bardziej, węzeł ten – jak w przypominającej przestrogę Gordionu miniaturze Zbigniewa Herberta – nie przestaje „kpić sobie z naszych wysiłków”. Zamiast jednak dobywać miecza, aby dokonać nieodwracalnego cięcia, chcielibyśmy mimo wszystko raz jeszcze zadać sobie kilka, ciągle niewczesnych, pytań, ufni w możliwość odnalezienia nowych na nie odpowiedzi, choć i pamiętający zarazem, że ich poszukiwanie – jak w Węźle gordyjskim pisze Herbert – „zakłada zgodę na błądzenie; bezradność wobec splątanej materii świata, cudowną ludzką niepewność i pokorną cierpliwość”. W jaki zatem sposób można mówić dziś o teologii i religijności, a do jakiego typu refleksji obligują nas wewnętrzne prawa tej i innych akademickich dyscyplin?Czy nie więzią one namysłu nad tym szczególnie frapującym typem więzi, jaki nazywamy religią? Czy można jeszcze uprawiać teologię na sposób ahistoryczny, stroniący od jakichkolwiek odniesień do ustaleń nauk społeczno-politycznych? Czyma sens podejmowanie interpretacji tekstów literackich i kulturowych bez świadomości ich kryptoteologicznych uwikłań? Czy możliwa jest inna, nowa refleksja nad religią i na czym miałaby ona polegać? Czy możliwe są więzi bez więzów?

Ze wstępu Piotra Bogaleckiego, Aliny Mitek-Dziemby i Tadeusza Sławka ",,"
2013-01-01 ","
2013-01-01 ","
430 ","
polski ",,,
"
Pszczoły ",Jacek Nowak,"
flora i fauna ",SMB Sp. z o.o.,"
9788364338038 ","
Pszczoły to niezwykłe stworzenia. Istniały już miliony lat temu – przed dinozaurami – i od tego czasu prawie nie zmieniły swojego wyglądu. Naukowcy twierdzą, że mają zablokowany kod genetyczny i dlatego nie podlegają prawom ewolucji. Zgłębienie tajników pszczelarstwa i życia tych niezwykłych owadów jest bardzo ciekawym doświadczeniem, nie tylko dla przyszłych hodowców.
Prezentowana książka ma za zadanie wprowadzić Czytelnika w pasjonującą dziedzinę ,jaką jest pszczelarstwo.Zgromadzone w niej wiadomości pomogą poznać fascynujące życie tych pożytecznych owadów,a także posłużą jako wskazówki przy zakładaniu własnej pasieki.
Zamieszczony w poradniku kalendarz prac pasiecznych pozwoli uporządkować wiedzę oraz w profesjonalny sposób zająć się ulami i ich mieszkańcami. ",,"
2013-01-01 ","
2013-01-01 ","
196 ","
polski ",,,
"
Syndykalizm Rewolucyjny - antyliberalna rewolta XX wieku ",Rafał Chwedoruk,"
historia ",Elipsa,"
9788371519529 ",,"
Syndykalizm Rewolucyjny - antyliberalna rewolta XX wieku ","
2013-01-01 ","
2013-01-01 ","
440 ","
polski ",,"

Jest to książka naukowa, więc ciężka w odbiorze dla osób niezainteresowanych tematem. jednak do studiowania historii myśli syndykalistycznej - lektura obowiązkowa. Autor wykonał ogromna kwerendę. Wiele przypisów oraz szeroka bibliografia. 

Jest to książka naukowa, więc ciężka w odbiorze dla osób niezainteresowanych tematem. jednak do studiowania historii myśli syndykalistycznej - lektura obowiązkowa. Autor wykonał ogromna kwerendę. Wiele przypisów oraz szeroka bibliografia. 



Pokaż mimo to


",
"
Jak przekłady zmieniają sens Biblii… O teorii i praktyce tłumaczenia Biblii ",Marcin Majewski,"
religia ",Marcin Majewski,,,,"
2013-01-01 ","
2013-01-01 ","
173 ","
polski ",,"

Świetna rzecz. 

Świetna rzecz. 



Pokaż mimo to


",
