title,author,categories,publishing,isbn,description,orginalTitle,date,datePol,pages,lang,translator,comments,quotes
"
Re: internet - społeczne aspekty medium. Polskie konteksty i interpretacje ",praca zbiorowa,"
nauki społeczne (psychologia, socjologia, itd.) ",Wydawnictwa Akademickie i Profesjonalne,"
978-83-60501-38-2 ","
Internet jest medium, którego oddziaływanie odczuwamy w coraz liczniejszych dziedzinach życia społecznego. Kierunek oddziaływania internetu nie jest oczywisty, a efekt niejednolity. Kluczem do lektury książki może więc być szukanie regularności z jednej strony, a różnorodności – z drugiej, sposobów używania i jego skutków w różnych sferach życia społecznego. Książka została napisana przez młodych badaczy z polskich ośrodków akademickich.

""Książka przygotowana niemal w całości przez grono młodych badaczy dokumentuje stan i kierunek prowadzonych w Polsce prac badawczych w tym nowym i niezmiernie ważkim obszarze praktyki społecznej, jaki został stworzony z chwilą pojawienia się internetu. Wchodzące w jej skład teksty prezentują wysoki poziom teoretyczny i stanowią znaczący wkład do analizy funkcjonowania nowego medium"".

prof. dr hab. Mirosława Marody, Instytut Socjologii, Uniwersytet Warszawski

""Wprawdzie internet nadal rozwija się szybciej niż stan naukowej refleksji nad nim, jednak badacze zaczynają powoli nadrabiać zaległości, także w Polsce. Mamy już w polskim piśmiennictwie medioznawczym kilkanaście znaczących pozycji, zarysowujących podstawę ogólnej wiedzy o sieci, komunikacji sieciowej i społeczeństwie sieciowym. Re: internet - społeczne aspekty medium dołącza do tego zbioru i wzbogaca go w sposób znaczący"".

prof. dr hab. Maciej Mrozowski, Instytut Dziennikarstwa

Uniwersytet Warszawski ",,"
2006-01-01 ","
2006-01-01 ","
432 ","
polski ",,,
"
National Geographic 01/2006 (76) ",Redakcja magazynu National Geographic,"
czasopisma ",G+J RBA,"
15075966 ","
Spis treści:
Darłowo
Kto wygrywa w Iraku?
Ludobójstwo
Wielki Kanion
Powrót rysia
W świecie bóstw Majów
Ostatnie łowy na lodzie
Modliszki ",,"
2006-01-01 ","
2006-01-01 ","
156 ","
polski ",,,
"
Przewodnik śladami thrillerów Dana Browna ",Oliver Mittelbach,"
językoznawstwo, nauka o literaturze ",Amber,"
8324125124 ","
Znajdziemy tu wszystkie informacje potrzebne do wypraw śladami powieści Dana Browna: tło historyczne, ponad 100 kolorowych zdjęć, porady praktyczne, propozycje wycieczek, a do tego mnóstwo anegdot - również z planu filmowego. ","
Dan Browns Thriller-Schauplatze als Reiseziel ","
2006-01-01 ","
2006-01-01 ","
150 ","
polski ","
Sławomir Rzepka ",,
"
Potrawy z owocami ",Halina Jachowska,"
kulinaria, przepisy kulinarne ",Prószyński i S-ka,"
8374693827 ","
Sezon owocowy w pełni. Piękne dorodne owoce najlepiej smakują na surowo. Ale aby wzbogacić nasz jadłospis o cenne witaminy, chętnie sięgamy po nie i dodajemy do przygotowywanych potraw. Drób, a szczególnie kaczka nadziewana jabłkami i ananasem to prawdziwe dzieło kulinarne o wielosmakowej gamie i wonnościach. Wołowina z dodatkiem jarzyn i owoców zachwyci niejednego biesiadnika a sernik z leśnymi owocami uświetni każde przyjęcie. ",,"
2006-01-01 ","
2006-01-01 ","
96 ","
polski ",,,
"
Rzeszów - przewodnik po śródmieściu i osiedlach Rzeszowa ",Stanisław Kłos,"
turystyka, mapy, atlasy ",Agencja Wydawnicza JOTA,"
83-88174-26-6 ","
Przewodnik po Rzeszowie z pięknymi fotografiami Józefa Ambrozowicza. Pozwoli na lepsze poznanie ciekawych zakątków tego miasta wojewódzkiego. Przybliży historię, a także opisze współczesność. ",,"
2006-01-01 ","
2006-01-01 ","
228 ","
polski ",,"

A to z kolei pamiątka z podróży na Podkarpacie. Mam sentyment do Rzeszowa, miasta gdzie narodził się zespół Breakout oraz zimnofalowa grupa „1984”. Odwiedziłem go jednak po wielu latach nieobecności. Nie pamiętając topografii miasta, wolałem sięgnąć po coś bardziej esencjonalnego niż mapa. I tak w ówczesnej księgarni „Libra” trafiłem na taki poręczny przewodnik, a w nim wszystko co niezbędne: historia miasta, miejsce godne zobaczenia, wyraźne fotografie… Takie kompendium, które aż miło później postawić na półce i wspominać co jakiś czas zwiedzone trasy turystyczne. 

A to z kolei pamiątka z podróży na Podkarpacie. Mam sentyment do Rzeszowa, miasta gdzie narodził się zespół Breakout oraz zimnofalowa grupa „1984”. Odwiedziłem go jednak po wielu latach nieobecności. Nie pamiętając topografii miasta, wolałem sięgnąć po coś bardziej esencjonalnego niż mapa. I tak w ówczesnej księgarni „Libra” trafiłem na taki poręczny przewodnik, a w nim... 

więcej



mniej





Pokaż mimo to


;

Przystępnie napisana,króka i zwarta historia powstania i losów miasta, ciekawie opisane stare miasto z propozycjami tras zwiedzania, bogate tło historyczne zabytków, rzuty budynków,kościołów. Przewodnik bogaty w fotografie,posiada mapy oraz plany miasta. Duży nacisk kładzie na historię i historię architektury wszysykich osiedli Rzeszowa. Uważam,za gody polecenia. Wygodna,kieszonkowa forma,twarda okładka,kredowy papier,230 stron,posiada informator urzędów,instytucji,organizacji,muzeów,placówek kulturalnych, wyższych uczelni,hoteli oraz restauracji 

Przystępnie napisana,króka i zwarta historia powstania i losów miasta, ciekawie opisane stare miasto z propozycjami tras zwiedzania, bogate tło historyczne zabytków, rzuty budynków,kościołów. Przewodnik bogaty w fotografie,posiada mapy oraz plany miasta. Duży nacisk kładzie na historię i historię architektury wszysykich osiedli Rzeszowa. Uważam,za gody polecenia.... 

więcej



mniej





Pokaż mimo to


",
"
Między Kopernikiem a Zygmuntem, czyli tło warszawskie w ""Lalce"" Bolesława Prusa ",Paweł Waszak,"
albumy ",Muzeum Historyczne m. st. Warszawy,"
838847748X ","
W książce zestawione zostały fragmenty tekstów „Lalki"" dotyczących Warszawy: miejsc, instytucji i obyczajów, z obszernymi fragmentami dawnych przewodników po Warszawie i artykułów ówczesnej prasy, które poszerzają i uzupełniają tekst Prusa. Ważną rolę w tej publikacji spełnia także ikonografia: mapy, reklamy, drzeworyty oraz stare i nowe fotografie.
W swej graficznej formie książka nawiązuje do epoki Prusa (autorami projektu graficznego byli Ewa i Jerzy Kowalscy). ",,"
2006-01-01 ","
2006-01-01 ","
 120 ","
polski ",,,
"
Fotografia cyfrowa. Photoshop Elements 4 ",Scott Kelby,"
hobby ",Helion,"
83-246-0403-0 ","
Sprawdzone metody obróbki cyfrowych fotografii

* Porządkowanie i opisywanie kolekcji zdjęć
* Korekcja barwna i usuwanie niepotrzebnych obiektów
* Praca z plikami w formacie RAW
* Publikowanie i prezentacja fotografii

Pamiętasz czasy, kiedy przed wykonaniem zdjęcia dziesięć razy sprawdzało się parametry naświetlenia, żeby po wywołaniu kliszy i zrobieniu odbitek nie okazało się, że zamiast pięknego mazurskiego pejzażu mamy piękną kolorową plamę? Fotografia cyfrowa uwolniła nas od tych problemów. Oczywiście -- sam fakt posiadania cyfrówki nie sprawi, że jej właściciel stanie się wirtuozem obiektywu, ale dzięki komputerowej obróbce zdjęć będzie mógł z niemal każdego niedoświetlonego, prześwietlonego lub źle wykadrowanego zdjęcia uczynić piękną fotografię.

Książka ""Fotografia cyfrowa. Photoshop Elements 4"" prezentuje profesjonalne techniki modyfikowania i korygowania zdjęć z wykorzystaniem programu Photoshop Elements. Scott Kelby, autor wielu publikacji poświęconych różnym wersjom Photoshopa, przedstawia sztuczki, jakimi posługują się fachowcy od fotografii cyfrowej podczas edycji, korekcji, retuszu i prezentacji swoich dzieł. Dowiesz się, jakich ustawień i narzędzi programu Photoshop Elements 4 używać, aby osiągnąć określony rezultat.

* Zarządzanie plikami za pomocą programu Organizer
* Korzystanie z metadanych
* Korekcja zdjęć w formacie RAW
* Zmiana wielkości i kadrowanie fotografii
* Korekcja kolorystyki i usuwanie błędów naświetlenia
* Retusz portretów
* Efekty specjalne
* Przywracanie świetności starym fotografiom
* Prezentacja i drukowanie zdjęć ","
The Photoshop Elements 4 Book for Digital Photographers ","
2006-01-01 ","
2006-01-01 ","
463 ","
polski ","
Piotr Cieślak ",,
"
Leksykon lektur szkolnych ",Wojciech Głuch,"
encyklopedie, słowniki ",Europa,"
8374070404 ","
*Niezbędny w biblioteczce licealisty i w każdej biblioteczce szkolnej*Niezastąpiony przy powtórkach do nowego egzaminu maturalnego zarówno ustnego, jak i pisemnego*Zawiera szczegółowe omówienia wszystkich podstawowych lektur*Przygotowuje do interpretacji dzieł literackich na lekcjach języka polskiego w liceum*Pomocny dla nauczyciela - uzupełnia i wzbogaca konspekty polonistycznych lekcji ",,"
2006-01-01 ","
2006-01-01 ","
516 ","
polski ",,,
"
O Elastyczność Prawa Spadkowego Fideikomis Uniwersalny w Klasycznym Prawie Rzymskim ",Franciszek Longchamps de Bérier,"
popularnonaukowa ",Liber,"
8372061335 ","
Książka traktuje o powstałym w Rzymie fideikomisie uniwersalnym - instytucji prawnej, która zwiększyła swobodę spadkodawców w decydowaniu o losach ich majątku na wypadek śmierci. Badania nad tym, jak fideikomis uniwersalny kształtował się jako instytucja prawna oraz do realizacji jakich celów mógł posłużyć, pozwalają bliżej przyjrzeć się prawu spadkowemu, które było przecież motorem rozwoju rzymskiego prawa prywatnego. Praca skupia się na mechanizmach rozwoju prawa, bo historia fideikomisów pokazuje, że gdy istniejące regulacje są skostniałe i nie przystają do potrzeb obrotu, praktyka inspirowana społecznymi i ekonomicznymi wymogami dąży do wprowadzenia drogą faktów dokonanych nowych rozwiązań. Jeśli tylko dają się one pogodzić z obowiązującymi regulacjami, stają się integralną częścią porządku prawnego. Nie pozostają oczywiście bez wpływu na całość regulacji danej dziedziny prawa: jak fideikomis, który powstał z szacunku dla woli spadkodawcy i bez wątpienia uczynił rzymskie prawo spadkowe bardziej elastycznym. ",,"
2006-01-01 ","
2006-01-01 ","
228 ","
polski ",,,
"
Moje dziecko w żłobku. Szansa czy koniecznośća ",Hanna Trawińska,"
poradniki ",Żak,"
9788389501592 ","
Hanna Trawińska od ponad 30 lat pracuje w warszawskich żłobkach. Rozpoczynała swoją drogę zawodową w żłobku tygodniowym na ulicy Koszykowej w Warszawie. Później przeniosła się na Żoliborz, by tam w kilku kolejnych placówkach służyć wiedzą, pasją i doświadczeniem najmłodszym, a także niespokojnym o ich los rodzicom. ",,"
2006-01-01 ","
2006-01-01 ","
81 ","
polski ",,,
