title,author,categories,publishing,isbn,description,orginalTitle,date,datePol,pages,lang,translator,comments,quotes
"
Na tropach faraonów ",Bolesław Orłowski,"
historia ",Nasza Księgarnia,,"
Zabytki Egiptu w oczach rodzimego podróżnika i pasjonata starożytności. Ilustracje czarno-białe i kolorowe. ",,"
1976-01-01 ","
1976-01-01 ","
198 ","
polski ",,,
"
Burza nadciąga z południa ",Juliusz Malczewski,"
powieść historyczna ",Wydawnictwo Ministerstwa Obrony Narodowej,,"
Burza nadciąga z południa
Juliusz	Malczewski ",,"
1976-01-01 ","
1976-01-01 ","
134 ","
polski ",,,
"
Piłkarskie asy ",Edward Ałaszewski,"
albumy ",Sport i Turystyka,"
8385719075 ",,,"
1976-01-01 ","
1976-01-01 ","
140 ","
polski ",,,
"
Andrzej ",Stanisław Kowalewski,"
literatura dziecięca ",Harcerskie Biuro Wydawnicze Horyzonty,,"
Jedna z książek z serii ""Portrety"", przedstawiającej obraz polskich nastolatków lat 70. XX wieku. ",,"
1976-01-01 ","
1976-01-01 ","
144 ","
polski ",,"

https://zacofany-w-lekturze.pl/2022/08/dojrzewanie-w-kilku-odslonach.html 

https://zacofany-w-lekturze.pl/2022/08/dojrzewanie-w-kilku-odslonach.html 



Pokaż mimo to


;

Jest to króciutka historia o dorastającym nastolatku w czasach PRL-u. Mimo różnic cywilizacyjnych (brak komputerów,tabletów, telefonów komórkowych itd.)utwor przedstawia emocje i obawy bohatera podobne do emocji współczesnych dzieci. Andrzej mieszka w mieszkaniu z mamą i siostrą Majką. Andrzej po śmierci ojca pomaga mamie w domu. Odpowiada za rozliczenia finansowe z osobami wynajmującymi pokój w ich mieszkaniu. Mama pracuje popołudniami w hotelu i uczy się w szkole wieczorowej.Dzieci same spędzają popołudnia. Pewnego wieczora przychodzi późno do domu z obcym facetem.Majka śpi, a Andrzej słyszy nieznajomy głos mężczyzny. Przykro mu, że tak szybko zapomniała o ojcu. Ta książka ukazuje jak ważne są rozmowy z dziećmi o ich problemach. Warto rozmawiać z dziećmi o ich emocjach, smutkach, niepowodzeniach, bo oddalanie się niszczy jedność rodziną. W tej książce jest ukazany problem przybranego rodzica oczami dziecka. Często rodzice myślą, że relacje między przybranym rodzicem, a dziećmi ułożą się szybko znakomicie. A tak niestety nie jest. Domysły o posiadaniu przybranego rodzica wiążą się z buntem w dziecięcych sercach. To z kolei przekłada się na atmosferę domową. Ksiązka opowiada też o innych przygodach Andrzeja.Warto przeczytać tę książkę.Polecam. 

Jest to króciutka historia o dorastającym nastolatku w czasach PRL-u. Mimo różnic cywilizacyjnych (brak komputerów,tabletów, telefonów komórkowych itd.)utwor przedstawia emocje i obawy bohatera podobne do emocji współczesnych dzieci. Andrzej mieszka w mieszkaniu z mamą i siostrą Majką. Andrzej po śmierci ojca pomaga mamie w domu. Odpowiada za rozliczenia finansowe z osobami... 

więcej



mniej





Pokaż mimo to


",
"
Lot ku ziemi ",Roman Bratny,"
literatura piękna ",Państwowy Instytut Wydawniczy,,"
„Stanęło mu w oczach całe życie.“ Więc jaka chwila to jest owo „całe życie“, może moment, gdy przed trzydziestu laty wydaje wyrok na swą słabość, na swoje kalectwo, by pójść w życie wyprostowany? Z powstania wyszedł z ciężkim urazem kręgosłupa. I może to laska kaleki ciśnięta w tatrzańską przepaść, gdy postawił sobie zadanie: wrócić bez podpórki albo zostać, skoro wrócić nie zdoła, może to jest wyzwaniem losu, które przychodzi przed oczy w takim momencie, gdy sam, z własnego wyboru, polecieć musi w przepaść? Pierwsza wspinaczka z ojcem. Te lata, z których pozostają fotografie siwego pana w pumpach, w ciężkich buciorach taternika. Głowa Marka sięga mu do biodra. A chodził już wówczas wysoko. A może lata wojny? To, co zadecydowało o wszystkim na zawsze: udział. To była jego obsesja: brać udział, być. Oszukańcze dodanie sobie dwóch lat decydujących o prawie do broni, do udziału. I te wyniesione z powstania Krzyże Walecznych i wreszcie seria przecinająca w pół ciała bólem i bezsiłą pełnego paraliżu. Ile „cudownych“ wydarzeń, aby tułaczka po powstańczych szpitalach nie skończyła się tak jak dla tysięcy? ",,"
1976-01-01 ","
1976-01-01 ","
156 ","
polski ",,"

Wielowątkowa historia kilkorga ludzi oparta luźno na życiu inż. Karpińskiego - prekursora polskiej informatyki. Osadzona w realiach powojennego PRL. Przypomina wczesne filmy Zanussiego. Do tego rozbudowany wątek obyczajowy. Warto przypomnieć sobie tego pisarza. 

Wielowątkowa historia kilkorga ludzi oparta luźno na życiu inż. Karpińskiego - prekursora polskiej informatyki. Osadzona w realiach powojennego PRL. Przypomina wczesne filmy Zanussiego. Do tego rozbudowany wątek obyczajowy. Warto przypomnieć sobie tego pisarza. 



Pokaż mimo to


;

Roman Bratny, niestety, został nieco zapomniany. Więcej osób kojarzy go z piosenki Elektrycznych Gitar, niż z jego twórczości. ""Lot ku ziemi"" jest zaskakującym na każdym kroku splotem - raczej niekorzystnych - przypadków. Jak bardzo przypadek rządzi naszym losem? 

Roman Bratny, niestety, został nieco zapomniany. Więcej osób kojarzy go z piosenki Elektrycznych Gitar, niż z jego twórczości. ""Lot ku ziemi"" jest zaskakującym na każdym kroku splotem - raczej niekorzystnych - przypadków. Jak bardzo przypadek rządzi naszym losem? 



Pokaż mimo to


",
"
Palenisko ",Olga Chrobra,"
reportaż ",Nasza Księgarnia,"
8310088930 ","
Powieść obyczajowo historyczna poruszająca ważne tematy społeczne.
Ilustrowała: Ewa Salamon ",,"
1976-01-01 ","
1976-01-01 ","
272 ","
polski ",,,
"
Za tobą na koniec świata ",Enrique Jardiel Poncela,"
powieść przygodowa ",Państwowy Instytut Wydawniczy,,"
""Za tobą na koniec świata"", jedna z najzabawniejszych powieści Jardiela Ponceli, powstała w roku 1929. Ta tryskająca humorem parodia romansu sentymentalno-kryminalnego jest nie tylko fajerwerkiem dowcipu, lecz - przy znakomicie skonstruowanej, przygodowej fabule - posiada jeszcze tę bezcenną zaletę, jaką jest bezpośredniość i lekkość narracji. ","
Esperame en Siberia, vida mia ","
1976-01-01 ","
1976-01-01 ","
380 ","
polski ","
Zofia Chądzyńska ","

Jedna z najdowcipniejszych książek w moim całym życiu. Autor wspaniale miesza gatunki, nie pozwala Czytelnikowi/Czytelniczce nawet na chwilę oddechu, prowadząc swą szaleńczo cudowną narrację. Wracam do niej w gorszych czasach, czyli np. teraz..... Powinno się chyba wznowić tę perełkę, Drodzy Wydawcy? 

Jedna z najdowcipniejszych książek w moim całym życiu. Autor wspaniale miesza gatunki, nie pozwala Czytelnikowi/Czytelniczce nawet na chwilę oddechu, prowadząc swą szaleńczo cudowną narrację. Wracam do niej w gorszych czasach, czyli np. teraz..... Powinno się chyba wznowić tę perełkę, Drodzy Wydawcy? 



Pokaż mimo to


;

Romans i kryminał w jednym, autor miał niezłe poczucie humoru :D 

Romans i kryminał w jednym, autor miał niezłe poczucie humoru :D 



Pokaż mimo to


;

Genialna książka zarówno w sferze treści, jak i formy! Ponadczasowa, uniwersalna, aż trudno uwierzyć, że napisana w międzywojniu. Poprzez humor, kpinę, ironię obnaża przywary ludzkie - przede wszystkim głupotę i zachłanność. Parodia romansu sentymentalno-kryminalnego - jak czytamy na okładce, skoro parodia to musi być zabawnie. Musi! Niesamowita książka, pierwszy raz zdarzyło mi się śmiać w głos (!) podczas czytania. Niebanalny humor, inteligencja i błyskotliwość, szeroka wiedza literacka(aluzje literackie) autora. Zaliczona już w poczet ulubionych powieści.

Otwieramy książkę i widzimy napis: ""PIĘĆ MYŚLI POKREWNYCH IDEOM ZAWARTYM W TEJ KSIĄŻCE"", autor wyjaśnia nam z czym będziemy mieli do czynienia:

1. ""Ażeby przejąć się rakiem żołądka, wystarczy uwierzyć, że się go ma, i przez miesiąc, dzień w dzień, chodzić do lekarza.
2. Samobójstwo teoretycznie nęci cały świat, praktycznie tylko niewielu. Ale niemal wszyscy gotowi byliby się zabić, gdyby potem można było żyć.
3. Kiedy jesz obiad samotnie, możesz słusznie powiedzieć, że zjadłeś go z najlepszym przyjacielem.
4. Niedobrze jest być ściganym przez kobietę, ale jeszcze gorzej przez kilku mężczyzn.
5. Przemierzyć świat od końca do końca: oto ideał amerykańskich turystów i armat Kruppa.

Szósta myśl, poza konkursem:

Ten, komu latami udaje się wywinąć od przejechania przez ciężarówkę, w końcu ginie pod trzykołowym rowerem.""

Następnie mamy ""Prolog w kroplach"" - wstęp odautorski, który mógłby stanowić oddzielną pozycję i o którym można by było napisać jakiś na przykład esej. Poncela ma do przekazania naprawdę wiele ciekawych uwag, spostrzeżeń, ma niesłychany dar obserwacji rzeczywistości, i co najważniejsze, po mistrzowsku potrafi tę rzeczywistość nazwać, opisać. Kropel jest siedem, każda kropla to nowa myśl autora - opowiada o powstaniu tej książki, inspiracjach, o problemach pisarzy itd. Zabawne, ale niezwykle trafne spostrzeżenia.

Można pokusić się o konkurs, w którym zwycięży ten, kto przeczyta powieść Ponceli i zdoła się choćby nie uśmiechnąć. Arcyzabawny utwór!

I oto zaczyna się, nasza podróż z uśmiechem na ustach. Sprawa jest prosta: jest kobieta - Palmera Suaretti, kobieta pusta, mało inteligentna, aktoreczka o pięknym ciele, którego uroki w całej okazałości można podziwiać podczas każdego przestawienia. Palmerę kochają mężczyźni - Palmera kocha pieniądze. O jej względy zabiega starszy pan - markiz, który ma tę wadę, że oprócz tego, że jest stary, jest beksą, płacze non stop, wylewa potoki łez w każdej sytuacji i z każdego powodu, najczęściej przez kobietę, która go odrzuca. Ale markiz jest sprytny, wie, że ma tajną broń:

""(...) Ale skoro i tak jesteś właścicielką mej duszy, bądźże również właścicielką mego konta...

No i w końcu Palmera zdecydowała się na to poświęcenie.""

Palmera zachwycona bogactwem, nie mogła znieść płaczliwego kochanka, znienawidziła markiza ""wszystkimi ośmioma zmysłami"" (dotyku, wzroku, słuchu, smaku, powonienia, ""orientacji (zmysł wrodzony ptakom), zmysłem, który się traci odchodząc od zmysłów, i zmysłem do handlu""). Kolejnym powodem zmartwień biednego markiza jest miłość Palmery do Maria Esfarciesa. Mario z kolei ma poważny problem, otóż Joachim Faber, ""lekarz z niepowołania, specjalista chorób krótkotrwałych"", zdiagnozował u niego raka żołądka. Mario nie może pogodzić się z wyrokiem, nie chce umierać w bólu, postanawia wziąć sprawy w swoje ręce i zabić się wcześniej, niżby to zrobiła choroba. Stąd wynikają jego przekomiczne próby samobójcze, a jest ich, bagatela, piętnaście. Po tych niepowodzeniach, postanawia wynająć mordercę, który ma go ""sprzątnąć"". Jednak bohater mimo wszystko boi się umierać, dlatego zaczyna uciekać (Palmera goni kochanka - wraz ze starym markizem, który ma jej w tym pomóc, co przyczynia mu następnych trosk). Jego celem jest Syberia. Zaczyna się ucieczka, no i oczywiście pogoń! I cóż tu się nie dzieje! Przemierzymy z bohaterem pół Europy z napięciem czekając, czy mordercom uda się dorwać Maria, w międzyczasie poznamy kilku nowych bohaterów, np. gadającego niedźwiedzia o wdzięcznym imieniu Mussolini ,odkryjemy jak zakończy się odwieczny spór dwóch włoskich rodzin - Cretinaccich i Idiotinnich. Przygód bohaterowie będą mieć bez liku. 

Zakończenia nie zdradzę, Poncela tak poplącze nitki, połączy niektórych bohaterów, innych rozdzieli, niektórzy przejdą swoistą metamorfozę - inni do końca się nie zmienią. Mocna końcówka rewelacyjnej książki, którą można czytać od początku już w momencie jej skończenia.

Autor okazał się być prześmiewcą jakich mało, parodiuje, wyszydza w sposób subtelny, zabawny. Śmieszy, ale także pobudza do refleksji. Genialny obserwator - należy to raz jeszcze podkreślić, znakomity pisarz. Jego styl, język są niepowtarzalne. Szkoda, że dostępna jest u nas tylko ta jedna jego powieść, od dawna już nie wznawiana, żal bardzo. 

Od czasu do czasu, autor ujawnia się w powieści, ma się wrażenie takiego ""a kuku!"". Cechuje go niesamowity dystans do siebie, do swojego utworu. Podejmuje dialog z czytelnikiem i przede wszystkim jest świadomy swoich czytelników - mam tu na myśli jego troskę, dbanie o to, żeby czytelnik się nie nudził, żeby się dobrze bawił czytając. Poncela wierzy w inteligencję i poczucie humoru czytelników i to jest wielki plus.

Warto zwrócić jeszcze uwagę na przypisy, pochodzące od autora:

""Funduję nagrodę - w postaci trzech egzemplarzy niniejszej książki i porcelanowej maszynki do kawy - dla czytelników zdolnych wyjaśnić, dlaczego kobiety mają taką słabość do wielokropków.""

""E n t e l e c h i a - termin wprowadzony przez Arystotelesa na oznaczenie ""formy celowo kształtującej materię"" (tj. celowo działającej siły, w której urzeczywistnia się to, co jest zawarte w materii). Herman Barbaro, włoski filozof, który był łaskaw urodzić się w 1454 roku i umrzeć w 1493, interpretował Arystotelesa (co dowodzi, że nie miał zbyt wiele do roboty) i wyzwał Diabła, by go zapytać jak najpoważniej w świecie, co oznacza termin ""entelechia"". Mógłbym dodać wiele rzeczy na ten temat, gdyby chciało mi się przepisać jeszcze parę linijek z encyklopedii, z której wziąłem to, co państwo powyżej przeczytali. Ale prawdę mówiąc, nie chce mi się (...).""

Cytować można by tu naprawdę jeszcze dużo, dużo, ba, można by nawet przepisać całą książkę, ale zostawię przyjemność odkrywania jej przyszłym czytelnikom.

Jedna z nielicznych książek, której informacja zamieszona od wydawcy, zachęcająca do przeczytania jest w pełni trafna (żaden chwyt marketingowy), nie jest przesadzona, wyolbrzymiona - ""jedna z najzabawniejszych powieści Ponceli (...) tryskająca humorem (...) jest nie tylko fajerwerkiem dowcipu, lecz - przy znakomicie skonstruowanej, przygodowej fabule - posiada jeszcze tę bezcenną zaletę, jaką jest bezpośredniość i lekkość narracji."". 

Jestem zauroczona, chciałoby się więcej! 

(http://dajprzeczytac.blogspot.com/) 

Genialna książka zarówno w sferze treści, jak i formy! Ponadczasowa, uniwersalna, aż trudno uwierzyć, że napisana w międzywojniu. Poprzez humor, kpinę, ironię obnaża przywary ludzkie - przede wszystkim głupotę i zachłanność. Parodia romansu sentymentalno-kryminalnego - jak czytamy na okładce, skoro parodia to musi być zabawnie. Musi! Niesamowita książka, pierwszy raz... 

więcej



mniej





Pokaż mimo to


;

Paradoks goni paradoks! 
Humor rodem z ""Nagiej broni"" czy ""Jasia Fasoli"", a to jednak nie mój humor. 

Paradoks goni paradoks! 
Humor rodem z ""Nagiej broni"" czy ""Jasia Fasoli"", a to jednak nie mój humor. 



Pokaż mimo to


;

Uwielbiam :D Absurd, groteska, czarny humor, pastisz, parodia romansu wymieszane w jednej książce. Rzadko kiedy się tak śmieje podczas czytania a ta książka sprawiła że śmiałem się non stop. Jedna z moich ukochanych książek 

Uwielbiam :D Absurd, groteska, czarny humor, pastisz, parodia romansu wymieszane w jednej książce. Rzadko kiedy się tak śmieje podczas czytania a ta książka sprawiła że śmiałem się non stop. Jedna z moich ukochanych książek 



Pokaż mimo to


",
"
Stereochemia a mechanizm reakcji ",David Whittaker,"
nauki przyrodnicze (fizyka, chemia, biologia, itd.) ",Wydawnictwo Naukowe PWN,"
9788375961287 ","
Książka Davida Whittakera wyjaśnia zasadniczą rolą stereochemii w zrozumieniu mechanizmów reakcji i należycie wprowadza w to zagadnienie studentów chemii organicznej i biochemii. ","
Stereochemistry and Mechanism ","
1976-01-01 ","
1976-01-01 ","
114 ","
polski ","
Andrzej Chimiak ",,
"
Śmierć Wallensteina ",Josef Janaczek,"
historia ","Wydawnictwo ""Śląsk""","
9788321607108 ","
Biografia Albrechta von Wallensteina, wodza i polityka czeskiego pochodzenia z okresu wojny trzydziestoletniej. ",,"
1976-01-01 ","
1976-01-01 ","
326 ","
polski ",,,
"
Mokry łakomczuch ",Barbara Lewandowska,"
literatura dziecięca ",Nasza Księgarnia,,"
Marek po raz pierwszy widzi morze i ich powitanie nie jest do końca miłe. Wspólna zabawa też jakoś się nie udaje, bo morze zabiera rysunki chłopca...

Ilustrowała Janina Krzemińska. ",,"
1976-01-01 ","
1976-01-01 ","
24 ","
polski ",,"

Mój egzemplarz jest z 1986 roku, na półce znalazła go moja siostrzenica. Przeczytałyśmy książeczkę już wielokrotnie, co z jednej strony nie jest żadnym wyczynem, zaledwie kilka stron, ale z drugiej jeżeli dwulatka chce do książeczki wracać to książka musi mieć to coś. 
Polecam 

Mój egzemplarz jest z 1986 roku, na półce znalazła go moja siostrzenica. Przeczytałyśmy książeczkę już wielokrotnie, co z jednej strony nie jest żadnym wyczynem, zaledwie kilka stron, ale z drugiej jeżeli dwulatka chce do książeczki wracać to książka musi mieć to coś. 
Polecam 



Pokaż mimo to


",
