title,author,categories,publishing,isbn,description,orginalTitle,date,datePol,pages,lang,translator,comments,quotes
"
Dzieciożerca ","Pikora Grzegorz, Rosłoniec Adam","
literatura piękna ",Remedy,"
0000000000000 ","
""Dzieciożerca"" - nowa powieść autorów ""Strzałów spod pierzyny"". Grzegorz Pikora i Adam Rosłoniec tym razem przedstawiają historię dwóch Polaków, którzy dokonali na zlecenie bossa farmaceutyczno-narkotykowego z Genewy przemytu cennej rzeczy na Zachód. Tym samym otwiera się przed bohaterami świat, którego dotąd nie znali. Książka ta jest niezwykłą, zagadkową podróżą w kierunku innej strony tego świata. ",,"
2009-01-01 ","
2009-01-01 ","
190 ","
polski ",,,
"
Podróże z pasją. Paryż ",Ruth Blackmore,"
turystyka, mapy, atlasy ",Wydawnictwo Naukowe PWN,"
9788301158477 ","
Ten przewodnik powstał z pasji podróżowania!

Nasi doświadczeni podróżnicy odwiedzili Paryż nie raz. Opisali setki miejsc, zwiedzili słynne zabytki i piękne zakątki miasta. Zachwycili się jego atmosferą, tworzoną przez artystów, pisarzy i tłumy turystów. Poprowadzą Cię po zaułkach Paryża, zabiorą na spacer po gwarnej Dzielnicy Łacińskiej i Polu Marsowym, na strome wzgórze Montmartre na północy, do nowoczesnej dzielnicy La Defense na zachodzie. 

Na naszych mapach - znanych z dokładności - odnajdziesz kolejne miejsca do zwiedzenia. A dzięki naszym rekomendacjom trafisz do maleńkich pensjonatów, hoteli, loftów, gwarnych barów serwujących pastis i kafejek z najlepszą poranną grand creme i croissant - do wielu miejsc niezwykłych.

W książce spotkasz słynny znaczek ""biegnącego ludzika"", którym oznaczono polecane przez autorów miejsca, hotele, restauracje, firmy. Będziemy Ci wdzięczni za nadsyłanie Twoich rekomendacji, które będziemy mogli wykorzystać w kolejnych wydaniach. ","
The Rough Guide to Paris ","
2009-01-01 ","
2009-01-01 ","
484 ","
polski ","
Barbara Gadomska, Wanda Gadomska ","

Ta seria przewodników, to mój zdecydowany lider na rynku. Wraz z serią ""Step By Step"" tworzą mordercze combo w moim plecaku. Z ich pomocą, jak śpiewał jeden z największych polskich zespołów metalowych, ""..o O, mogę wszystko!"" 

Co w nim? Całe mnóstwo informacji historyczno-kulturowych, cenne wskazówki dotyczące funkcjonowania w mieście, część praktyczna, czyli opisy atrakcji, całych dzielnic, trasy wycieczkowe i wiele innych. Cholernie smaczny, taka szkoda, że już ich nie wydają. 

Ta seria przewodników, to mój zdecydowany lider na rynku. Wraz z serią ""Step By Step"" tworzą mordercze combo w moim plecaku. Z ich pomocą, jak śpiewał jeden z największych polskich zespołów metalowych, ""..o O, mogę wszystko!"" 

Co w nim? Całe mnóstwo informacji historyczno-kulturowych, cenne wskazówki dotyczące funkcjonowania w mieście, część praktyczna, czyli opisy... 

więcej



mniej





Pokaż mimo to


",
"
Garcia II, władca Konga a Kościół katolicki ",Robert Piętek,"
historia ",Neriton,"
9788375430967 ","
Dawne Kongo było afrykańskim państwem, którego władcy i znaczna część elit politycznych od końca XV w. uważała się za chrześcijan. Praca przedstawia politykę Garcii II (1641–1660) wobec duchowieństwa katolickiego. Władcy temu udało się przerwać monopol portugalski na kontakty ze światem europejskim, do czego w znacznym stopniu przyczynili się kapucyni wysłani tam przez Kongregację Propagandy Wiary. Zakonnicy ci wspierali władcę w działaniach ograniczających rolę lokalnych ośrodków kultu oraz promujących wspólną dla całego państwa ideologię. ",,"
2009-01-01 ","
2009-01-01 ","
245 ","
polski ",,"

Interesująca książka prezentująca polskiemu czytelnikowi bardzo słabo znany temat, lub może w ogóle nie znany, o kościele katolickim i jego stosunkach z władcą w XVII-wiecznym Kongu (gros terytorium to dzisiejsza Angola). Autor jako pierwszy, w rodzimej literaturze historycznej, omawia stosunki władcy Konga, tytułowego Garcii II, z klerem kościoła katolickiego w tym z reprezentującymi go misjonarzami z zakonu kapucynów. Prezentuje nam znaczenie tych kontaktów tak dla misjonarzy jak i władcy oraz oczekiwania obu stron. Nie pomija również problemów ze wzajemny zrozumieniem, będących pochodnią innego sposobu myślenia Europejczyków i mieszkańców Afryki.
Wadą pracy jest brak rozdziałów które przybliżyłyby czytelnikowi historię królestwa Kongo, jego zróżnicowanie etniczne i językowe, niechrześcijańskie wierzenia, ustrój czy demografię i wielkość terytorialną na której przyszło działać misjonarzom z Europy za panowania Garcii II. Tak samo brakuje choćby krótkiej biografii tegoż władcy. Po prawdzie część wyżej wzmiankowanych zastrzeżeń jest opisana na łamach książki, ale są zbyt ogólnikowe i rozproszone pomiędzy poszczególnymi rozdziałami. Z tego powodu nie tworzą całości i utrudniają usystematyzowanie wiedzy czytelnikowi. Jest to duża wada zważywszy, że w Polsce temat ten jest w rzeczywistości terra incognita .
Mimo wszystko publikację polecam. 

Interesująca książka prezentująca polskiemu czytelnikowi bardzo słabo znany temat, lub może w ogóle nie znany, o kościele katolickim i jego stosunkach z władcą w XVII-wiecznym Kongu (gros terytorium to dzisiejsza Angola). Autor jako pierwszy, w rodzimej literaturze historycznej, omawia stosunki władcy Konga, tytułowego Garcii II, z klerem kościoła katolickiego w tym z ... 

więcej



mniej





Pokaż mimo to


",
"
II wojna światowa. Szlak ludowego wojska polskiego ",Konrad Paduszek,"
powieść historyczna ",New Media Concept,"
9788376750156 ","
W 70. rocznicę wybuchu II wojny światowej przedstawiamy ekskluzywne, pięknie wydane kompendium wiedzy o tamtych wydarzeniach. Kolejne tomy kolekcji to fascynująca podróż w przeszłość. Wzruszające wspomnienia świadków wydarzeń, mało znane fakty, kulisy największych operacji wojskowych, wielkie bitwy i genialni dowódcy, tajne pakty i międzynarodowe konferencje, niepublikowane wcześniej unikatowe zdjęcia - oto książki, które nikogo nie pozostawią obojętnym. Pamięć tamtych lat nie powinna nigdy przeminąć. Szczególnie w kraju nad Wisłą, który tak tragicznie doświadczyła historia XX wieku. ",,"
2009-01-01 ","
2009-01-01 ","
133 ","
polski ",,,
"
Stephenie Meyer ",Ryan Burton,"
komiksy ",Bluewater Productions,,"
Seria ""Female Force"" prezentuje biografie znanych kobiet w postaci noweli graficznej czyli komiksu. ",,"
2009-01-01 ",,,"
angielski ",,,
"
Aerobik i step Ćwiczenia dla każdego ",Gomez Ruth Arteaga,"
sport ",Buchmann,"
9788361048718 ","
Aerobik i step. Ćwiczenia dla każdego. Trening na każdy dzień * rozgrzewka, częsć cardio i cooldown * taniec na stepie * fitness z muzyka Aerobik w potocznym znaczeniu okresla zajęcia grupowe przy muzyce. Obecnie istnieje wiele form zajęć posiadajacych własne nazwy, ale nadal okreslanych mianem aerobik. Step to zajęcia, które wymagaja użycia specjalnej platformy do ćwiczeń. W Ćwiczeniach dla każdego. Aerobiku i stepie zostały opisane formy taneczne z użyciem stepu oraz te, które wykonuje się bezposrednio na podłodze. zadaniem ich wszystkich jest wywieranie pozytywnego wpływu na układ sercowo naczyniowy, kształtowanie koordynacji, uzyskanie ogólnej sprawnosci fizycznej oraz poprawy wydolnosci organizmu. Ważnym aspektem jest również poprawa samopoczucia. zajęcia uważa się za wszechstronne, gdyż oprócz strony fizycznej dbaja także o równowagę psychiczna. Ksiażka jest podzielona na dwa główne działy: Aerobik i Step. Każda z tych częsci jest skonstruowana jak lekcja w klubie fitness. Możemy zapoznać się z jej struktura (rozgrzewka, częsć cardio, cooldown), przeanalizować nazwy kroków i sposób ich wykonania, poznać metody wykorzystywane przez instruktorów podczas budowania choreografii, a także spróbować własnych sił podczas ćwiczeń rozciagajacych zamieszczonych w częsci cooldown. ",,"
2009-01-01 ","
2009-01-01 ","
192 ","
polski ",,,
"
Rozwój Poprzez Zabawę ",Jackie Silberg,"
poradniki ",Klub dla Ciebie,"
9788325800253 ",,,"
2009-01-01 ","
2009-01-01 ","
160 ","
polski ",,,
"
The Risk Of Survival Wspólny Los ",Mateusz Szpytma,"
powieść historyczna ",Instytut Pamięci Narodowej,"
9788376290287 ","
o i powołanej przez nie Rady Pomocy Żydom aŻegotaa, a także działania zwykłych ludzi, którzy na własną rękę, ryzykując życie, ratowali od zagłady swoich żydowskich współobywateli. Szczególną uwagę poświęca wsi Markowa na Podkarpaciu, w której ukrywało się 25 Żydów. Punktem kulminacyjnym książki są wydarzenia 24 marca 1944 r., kiedy za pomoc Żydom Niemcy zabili Józefa i Wiktorię Ulmów oraz ich sześcioro małych dzieci, a także wszystkich, których w swoim gospodarstwie ukrywali a osiem osób z rodzin Szallów i Goldmanów. W książce zamieszczono wiele zdjęć dokumentalnych.... ",,"
2009-01-01 ","
2009-01-01 ","
116 ","
polski ",,,
"
Tygrysy, Sturmgeschutze, Jagdpanthery ",Daniel Koreś,"
powieść historyczna ",WAW,"
9788389802767 ","
Niemieckie samodzielne pancerne formacje wsparcia 1939 1945 Książka jest pionierską próbą zebrania i usystematyzowania zagadnienia organizacji samodzielnych pancernych jednostek wsparcia1, które w strukturach Wehrmachtu stanowiły poważną, aczkolwiek rozproszoną siłę. Autor postawił sobie za cel rozwinięcie i pogłębienie pewnego wycinka badań znakomitego polskiego historyka, płk. prof. dr. hab. Tadeusza Sawickiego, zajmującego się organizacją niemieckich sił zbrojnych na froncie wschodnim w końcowym okresie II wojny światowej. Praca opiera się przede wszystkim na oryginalnych dokumentach niemieckich, które po II wojnie światowej zostały zmikrofilmowane i obecnie przechowywane są w amerykańskim National Archives –, Collection of Foreign Records Seized, Rekord Group 2422. Podstawowym źródłem są Kriegsstärkenachweisungen (KStN) –, zestawienia stanów etatowych poszczególnych pododdziałów z jednostek wsparcia, zawierające szczegółowy wykaz ludzi, sprzętu i broni, często z naniesionymi zmianami. ",,"
2009-01-01 ","
2009-01-01 ","
238 ","
polski ",,,
"
Koniec imperium. Bitwa o Midway. ",Steve White,"
komiksy ",Astra,"
9788389981181 ","
To historia dramatycznej walki o wyspy Midway, podczas której armia Stanów Zjednoczonych pokonała niezwyciężoną dotąd flotę wojenną Cesarstwa Japonii, kładąc kres jej dominacji na wodach Pacyfiku. Pozwoli przybliżyć Czytelnikowi postaci odważnych pilotów i marynarzy, którzy walczyli w samolotach, okrętach i łodziach podwodnych, aby zadać cios armii nieprzyjaciela i przybliżyć nadejście pokoju. ",,"
2009-01-01 ","
2009-01-01 ","
48 ","
polski ",,,
