title,author,categories,publishing,isbn,description,orginalTitle,date,datePol,pages,lang,translator,comments,quotes
"
Autobiografia-wieczna młodość aneks do wszystkich pozostałych ",Joanna Chmielewska,"
biografia, autobiografia, pamiętnik ",Vers,"
8371270054 ","
Może bym do dzisiejszego dnia tkwiła gdzieś tam nad Niceą, gdyby nie to, że napatoczył mi się w końcu jakiś samochód. Pobłogosławiłam automatyczne otwieranie okien. - Przepraszam, gdzie ja jestem?! - wrzasnęłam rozpaczliwie. - Ja chcę do Nicei, Promenade des Anglais! - Ciągle w dół! - odwrzasnęła mi na to osoba w samochodzie i w tym momencie rozjaśniło mi się wreszcie w umyśle. Dążyłam wszak nad samo morze. Gdzie ma się znajdować morze, do diabła, na dole czy w górze? Mogłam sama na to wpaść,... ",,"
1994-01-01 ","
1994-01-01 ","
235 ","
polski ",,"

Od razu się przyznam że tylko przekartkowane gdyż potem książka pojawiła się po znacznym przeredagowaniu jako ""Wtórna młodość"", świetnie że o tym nie wiedziałam i od razu przeczytałam poprawioną część (""Wtórną młodość""). Podczytałam rozbieżności - przyjemnie się czyta. 

Od razu się przyznam że tylko przekartkowane gdyż potem książka pojawiła się po znacznym przeredagowaniu jako ""Wtórna młodość"", świetnie że o tym nie wiedziałam i od razu przeczytałam poprawioną część (""Wtórną młodość""). Podczytałam rozbieżności - przyjemnie się czyta. 



Pokaż mimo to


;

Z powodu swojej nogi(w gipsie) nie mogłam spać, więc czytałam autobiografię Joanny Chmielewskiej, co prawda już kolejny raz, lecz bardzo lubię czytać książki tej autorki a na nocne czytanie wolę coś lekkiego i z humorem. Polecam
wszystkim miłośnikom Joanny Chmielewskiej i nie tylko. 

Z powodu swojej nogi(w gipsie) nie mogłam spać, więc czytałam autobiografię Joanny Chmielewskiej, co prawda już kolejny raz, lecz bardzo lubię czytać książki tej autorki a na nocne czytanie wolę coś lekkiego i z humorem. Polecam
wszystkim miłośnikom Joanny Chmielewskiej i nie tylko. 



Pokaż mimo to


;

Pani Joanno nigdy się pani nie zestarzeje. Wiecznie młoda 

Pani Joanno nigdy się pani nie zestarzeje. Wiecznie młoda 



Pokaż mimo to


;

Każdemu wolno kochać ... 

Każdemu wolno kochać ... 



Pokaż mimo to


;

Super uzupełnienie dla wcześniejszych tomów autobiografii. Polecam 

Super uzupełnienie dla wcześniejszych tomów autobiografii. Polecam 



Pokaż mimo to


;

Coraz mniej życiorysu, coraz więcej wstawek z książek, dużo psioczenia na administracje, i masę anegdotycznych zdarzeń. 

Coraz mniej życiorysu, coraz więcej wstawek z książek, dużo psioczenia na administracje, i masę anegdotycznych zdarzeń. 



Pokaż mimo to


;

cieszę się że skończyłam, nie polecam 

cieszę się że skończyłam, nie polecam 



Pokaż mimo to


;

Pisane na doczepkę i to widać. Ale warto było, bo poglądy na wiele spraw miałam z p. Chmielewską zbieżne i miło się było tego dowiedzieć, a przytoczone słuchowisko o niebiosach to majstersztyk. :-) 

Pisane na doczepkę i to widać. Ale warto było, bo poglądy na wiele spraw miałam z p. Chmielewską zbieżne i miło się było tego dowiedzieć, a przytoczone słuchowisko o niebiosach to majstersztyk. :-) 



Pokaż mimo to


;

Uzupełnienie poprzednich części „Autobiografii” – sprostowania, wyjaśnienia, dopowiedzenia. Dobrze się bawiłam. 

Uzupełnienie poprzednich części „Autobiografii” – sprostowania, wyjaśnienia, dopowiedzenia. Dobrze się bawiłam. 



Pokaż mimo to


;

Zaczęłam czytać książki pani Chmielewskiej ponad 25 lat temu. Każdą przypłaciłam łzami i śmiechem do wypęku. Autobiografia jest wisienką na torcie. 

Zaczęłam czytać książki pani Chmielewskiej ponad 25 lat temu. Każdą przypłaciłam łzami i śmiechem do wypęku. Autobiografia jest wisienką na torcie. 



Pokaż mimo to


",
"
Świat seksu ",Henry Miller,"
publicystyka literacka, eseje ",TANGRAM,"
83-85779-01-9 ","
Millera esej na temat wykorzystania seksu w literaturze, skupiający się przede wszystkim na twórczości autora. ","
The World of Sex ","
1994-01-01 ","
1994-01-01 ","
121 ","
polski ","
Maciej Świerkocki ",,
"
Baśnie i legendy z różnych stron świata ",Barbara Hayes,"
baśnie, legendy, podania ",Muza,"
8370793126 ",,"
Folk tales and fables of the world ","
1994-01-01 ","
1994-01-01 ","
288 ","
polski ","
Zbigniew Idziakowski ",,
"
Nocne wiadomości ",DuŇ°an Mitana,"
literatura pińôkna ",,"
839013313X ","
Mitana jest jednym z najciekawszych i najbardziej kontrowersyjnych wsp√≥Ňāczesnych pisarzy sŇāowackich. DebiutowaŇā pod koniec lat szeŇõńádziesińÖtych. Jest mistrzem opowiadania, chońá ma r√≥wnieŇľ w swym dorobku powieŇõci, wiersze i scenariusze filmowe. Wielki talent narratorski poŇāńÖczony z poczuciem groteskowoŇõci codziennych zdarzeŇĄ, wplatanie mistyfikacji, motyw√≥w irracjonalnych, kryminalnych i horroru, tak najkr√≥cej moŇľna scharakteryzowańá opowiadania Mitany. Jego tw√≥rczoŇõńá nawińÖzuje do poetyki nadrealizmu, oczywiste jest jej pokrewieŇĄstwo z takimi tw√≥rcami jak Arrabal, Vian, Gombrowicz. ",,"
1994-01-01 ","
1994-01-01 ",,,,"

Pińôkny jest ten zbi√≥r. Nie ma w nim jednego sŇāabszego opowiadania. Moje ulubione 3 to chyba ""Diabelski tryl"", ""GorńÖce popoŇāudnie"" i ""Ziemia jest okrńÖgŇāa"". Fantastyczny klimat, momentami bardzo mroczny i surrealistyczny. Ale teŇľ Ňõwietne obserwacje relacji mińôdzyludzkich. CzytaŇāam z ogromnńÖ przyjemnoŇõcińÖ. 

Pińôkny jest ten zbi√≥r. Nie ma w nim jednego sŇāabszego opowiadania. Moje ulubione 3 to chyba ""Diabelski tryl"", ""GorńÖce popoŇāudnie"" i ""Ziemia jest okrńÖgŇāa"". Fantastyczny klimat, momentami bardzo mroczny i surrealistyczny. Ale teŇľ Ňõwietne obserwacje relacji mińôdzyludzkich. CzytaŇāam z ogromnńÖ przyjemnoŇõcińÖ. 



PokaŇľ mimo to


;

DoskonaŇāy zbi√≥r opowiadaŇĄ maŇāo znanego w Polsce sŇāowackiego pisarza. Mistrzowska narracja, poszukiwanie toŇľsamoŇõci przeradzajńÖce sińô czńôsto w kryzys zwińÖzku, codziennoŇõńá wymieszana z nadrealizmem, zabawa gatunkami (w tym elementy kryminaŇāu i grozy), mistyfikacje, bŇāyskotliwy zmysŇā obserwacji - to wszystko w tej niepozornej, czarnej ksińÖŇľeczce. Pisanie bliskie memu sercu i moim gustom. 

DoskonaŇāy zbi√≥r opowiadaŇĄ maŇāo znanego w Polsce sŇāowackiego pisarza. Mistrzowska narracja, poszukiwanie toŇľsamoŇõci przeradzajńÖce sińô czńôsto w kryzys zwińÖzku, codziennoŇõńá wymieszana z nadrealizmem, zabawa gatunkami (w tym elementy kryminaŇāu i grozy), mistyfikacje, bŇāyskotliwy zmysŇā obserwacji - to wszystko w tej niepozornej, czarnej ksińÖŇľeczce. Pisanie bliskie memu sercu i... 

wińôcej



mniej





PokaŇľ mimo to


;

Historie Mitany przypominajńÖ sny, ale tylko te najgorsze ‚Äď te, w kt√≥rych chcemy uciec, ale mamy nogi przyroŇõnińôte do ziemi lub krzyczymy, ale z naszych ust nie wydobywa sińô Ňľaden dŇļwińôk. Sny koszmarne, z kt√≥rych budzimy zlani potem i z ulgńÖ, Ňľe to tylko sen. 

[http://literackie-skarby.blogspot.com/2015/02/notatki-z-literatury-sowackiej-4-nocne.html] 

Historie Mitany przypominajńÖ sny, ale tylko te najgorsze ‚Äď te, w kt√≥rych chcemy uciec, ale mamy nogi przyroŇõnińôte do ziemi lub krzyczymy, ale z naszych ust nie wydobywa sińô Ňľaden dŇļwińôk. Sny koszmarne, z kt√≥rych budzimy zlani potem i z ulgńÖ, Ňľe to tylko sen. 

[http://literackie-skarby.blogspot.com/2015/02/notatki-z-literatury-sowackiej-4-nocne.html] 



PokaŇľ mimo to


",
"
Renoir ",Patrick Bade,"
sztuka ",Oficyna Panda,"
8385465405  ",,,"
1994-01-01 ","
1994-01-01 ","
144 ","
polski ",,,
"
Błogosławieni cisi ",Andrew M. Greeley,"
kryminał, sensacja, thriller ",Zysk i S-ka,"
8386211903 ","
Proboszcz katedry, ojciec Blackie Ryan, mądry i dowcipny monsinior, szara eminencja kardynała Seana Cronina, ma udzielić pomocy rodzinie Quinlanów. Nie chodzi tylko o wsparcie duchowe. Ojciec Ryan, detektyw w sutannie, włącza się w życie rodziny prześladowanej serią tragicznych śmierci, morderstwem, czarną magią i przesłaniem zza grobu... ","
Happy Are the Meek ","
1994-01-01 ","
1994-01-01 ","
280 ","
polski ","
Justyna Grzegorczyk ","

Kiedyś bardzo lubiłam książki autorstwa Andrew Greeleya.
Teraz jakby trochę mniej.
Minęło kilka lat i mamy swojego Ojca Mateusza (choć ten też na licencji).
Nie dziwi więc tak postać księdza-detektywa.

Sama zagadka kryminalna i jej wyjaśnienie dość ciekawe. Kontrowersyjna postać głównego bohatera - ojca rodziny, który ma wiele na sumieniu.
W feralną moc zabójstwa prawie każda z osób obecnych w domu (w sumie 11) spotkała się z nim sam na sam i miała okazję go zabić.
Konstrukcja przypomina stare kryminały Agathy Christie, choćby znany wielu ""Dziesięciu Murzynków"" (obecny tytuł ""I nie było już nikogo"").

Teraz dwa minusy.
Pierwszy to zbyt spektakularne zakończenie.
Drugi to sama postać księdza, a może raczej całej otoczki amerykańskiego katolicyzmu i tych nawiedzonych kaznodziei z ich wizjami i omamianiem wiernych. Czasem wydaje mi się, że w tych Stanach to ludzie jak stado baranów ciągną nawet za najbardziej bzdurnymi ideami. Siła oddziaływania mocnych osobowości jest tam ogromna. Czyżby niedobór autorytetów?
Da się przeczytać z zainteresowaniem, ale nie polecam jakoś szczególnie. 

Kiedyś bardzo lubiłam książki autorstwa Andrew Greeleya.
Teraz jakby trochę mniej.
Minęło kilka lat i mamy swojego Ojca Mateusza (choć ten też na licencji).
Nie dziwi więc tak postać księdza-detektywa.

Sama zagadka kryminalna i jej wyjaśnienie dość ciekawe. Kontrowersyjna postać głównego bohatera - ojca rodziny, który ma wiele na sumieniu.
W feralną moc zabójstwa prawie... 

więcej



mniej





Pokaż mimo to


",
"
Cienie przeszłości ",Marion Lennox,"
literatura obyczajowa, romans ",Harlequin,"
8370705545 ","
Christy nagle opuŇõciŇāa Anglińô i zjawiŇāa sińô u brata w Australii, aby raz na zawsze uciec przed wspomnieniem nieszczńôŇõliwej miŇāoŇõci do Adama, kt√≥ry okazaŇā sińô Ňľonatym mńôŇľczyznńÖ. I tu, niemal na koŇĄcu Ňõwiata, ponownie go spotyka! Czy znowu bńôdzie musiaŇāa uciekańá? ",,"
1994-01-01 ","
1994-01-01 ","
153 ",,,,
"
Conan obrońca ",Robert Jordan,"
fantasy, science fiction ",Amber,"
8370826806 ",,"
Conan the defender ","
1994-01-01 ","
1994-01-01 ","
239 ","
polski ","
Cezary Frąc ","

Akcja zaczyna się w Belverus, stolicy Nemedii. Tam to przybywa młody Conana, chcąc nająć się jako strażnik u któregoś z miejscowych kupców. Spotkanie ze starym znajomym zmienia jednak jego plany.
Dodatkowo miasto pogrążone jest w dziwacznym stanie, z powodu kłopotów, które trawią cały kraj. W powietrzu coraz bardziej czuć smród rewolucji i ponownie próbuje ona porwać ze sobą Cymerianina. Tym razem jednak nie jest to nic tak...hmm... „niewinnego” czy prostego jak mieliśmy w Kordawie w „Drodze królów”. O wiele mroczniejsze siły maczają swoje palce pociągając za sznurki. Przed nami więc pojedynki, pościgi, czary, zdrady i tak dalej, upchane na 234 stronach.
Niestety, w ostatniej ćwiartce książki wyraźnie da się wyczuć zanik formy, nagłe pospieszanie i niechlujstwo. Elementy, które wcześniej nakreślone zostały świetnie, nagle muszą sąsiadować z wytartymi do wylot schematami, czy elementami wręcz groteskowymi. Dodatkowe 25-50 stron na rozpisanie innego zakończenia znacznie podniosłyby jakość powieści.

Conana Jordan portretuje tu niestety nierówno. Z jednej strony daje mu o wiele bliższe nam, cywilizowane podejście (o które w pewnym miejscu chyb sam Howard mógłby się skrzywić). Cymerianin jest co prawda nadal honorowy, odważny i tak dalej, wszystko za co go szanujemy i lubimy. Nie ma jednak w nim tych szlachetnych odruchów, które nieraz się przejawiały.
Ten całkiem wiarygodny i przyjemny obraz, autor rujnuje niestety zdolnościami jakie mu daje. Wspinaczka, walka wręcz, czy bronią są wyniesione poza skalę. Nie tylko żołnierze elitarnych oddziałów nie stanowią dla niego żadnego wyzwania (kilka sekund i po sprawie), ale to samo tyczy się ich dowódcy, który dorównuje Conanowi wzrostem i posturą.
Szczytem jest jednak końcówka, w której Cymerianin po długiej chłoście i kilku dniach bez jedzenia i picia nie wykazuje żadnego osłabienia.

Znacznie lepiej na tym tle wypadają postacie drugoplanowe. Powracający Hordo jest o wiele przyjemniejszą postacią niż był w tomie 13-stym. Podobnie główna postać kobieca, poetka Ariana da się lubić przez większość książki i ma jakkolwiek znośnie poprowadzony wątek romansowy.
Ciekawie wypada też główny łotr, przeważnie dlatego, że poznajemy jego motywacje, środki i widzimy jak coraz bardziej stacza się zalewany własną ambicją. Niestety w efekcie jego los znów wygląda na potraktowany po macoszemu i przyspieszony.
Najbardziej do gustu przypada mi jednak postać władcy kraju, króla Gariana. Może to efekt sentymentu do każdego władcy, który pogonił czarokletów i zabronił magii, ale jest w nim coś co odróżnia go od prawie wszystkich cywilizowanych królików. Dzięki temu czemuś, realniejszy staje się sam główny łotr. Zwyczajnie ma przed oczami obraz kogoś kim chciałby z całej siły być, ale nie ma dość mocy charakteru i to wpędza go w szpony chorej ambicji.
Niestety na każdą dobrą postać przypadają ze dwie kiepskie. Prym wiedzie ta ujawniona w ostatniej ćwiartce książki. Może to moje własne uprzedzenie, ale nie znoszę tak jej zachowania jak i podejścia wszystkich do niej. 

W efekcie, podobnie jak kreacja samego Conana, powieść jest strasznie niespójna. Początek, pierwsza ćwiartka jest świetna, po prostu świetna. Realna, barwna, pełna charakteru. Potem jest gorzej, ale Jordan zachował dość smaczków, wtrąceń i zdrowego rozsądku aby też czytało się ją dobrze, a miejscami wręcz bardo dobrze. Niestety, koniec wieńczy dzieło i w tym przypadku robi to partacko. Nie wiem, może to efekt rozbudzenia wielkich nadziei, ale uważam, że jest to jedna z najgorszych końcówek w całej Czarnej Serii.

Oprawa jest dla niej typowa, czyli dziś praktycznie niespotykanie wysoka jakość. Twarda, lakierowana oprawa, szyte strony. Wielkość pozwala zmieścić książkę w bocznej kieszeni większości bojówek.
Piotr Szałkowski ponownie jest autorem ilustracji na okładce. I jak zwykle nie ma ona wiele wspólnego z treścią. Za wyjątkiem kulturysty w majtkach i butach, nic nie pojawia się w książce. Nic a nic! Nawet trawy chyba nigdzie nie ma, a Conan ani razu nie nosi hełmu.

Podsumowując Conan Obrońca to powieść-zawód. Rozbudza wielkie nadzieje, daje sporo zabawy, a potem pozostawia wielki niesmak. Można ją chyba porównać do przysłowiowej popijawy. Najpierw mamy wielką ochotę i smakujemy swoje trunki, rozkoszując się nimi i ich mocą. Potem chlejemy dla zabawy. A na końcu rzygamy i na następny dzień boli nas głowa. Taki mniej więcej jest ten tom.
Mogę go polecić każdemu, kto mimo tego ostrzeżenia, gotów jest po nią sięgnąć. Fani Conana powinni, są już bowiem zaprawieni w bojach i jakoś zniosą końcówkę. Pierwsze trzy ćwiartki natomiast powinny przypaść do gustu wszystkim, których drażni szczęście Conana. Tu, jak sam autor pisze „nie jest ono zezowate. Jest ślepe!” 

Akcja zaczyna się w Belverus, stolicy Nemedii. Tam to przybywa młody Conana, chcąc nająć się jako strażnik u któregoś z miejscowych kupców. Spotkanie ze starym znajomym zmienia jednak jego plany.
Dodatkowo miasto pogrążone jest w dziwacznym stanie, z powodu kłopotów, które trawią cały kraj. W powietrzu coraz bardziej czuć smród rewolucji i ponownie próbuje ona porwać ze... 

więcej



mniej





Pokaż mimo to


",
"
Atlas żyjącego świata ",David Attenborough,"
nauki przyrodnicze (fizyka, chemia, biologia, itd.) ",Oficyna Wydawnicza JAZ,"
9788390079691 ",,"
The Atlas of the Living World ","
1994-01-01 ","
1994-01-01 ","
224 ","
polski ","
Jacek Sikora, Barbara Kocowska ",,
"
Wspaniałe czasy w Bedrock ",Wendy Larson,"
literatura dziecięca ",Rebis,"
8371201214 ","
Życie ostatnio rozpieszczało rodzinę jaskiniowców - Flinstone;owie mają drogi samochód, nowe ubrania, biżuterię - wszystko, czego zawsze pragnęli. Inaczej rzeczy się mają w przypadku Rubble'ów. Ciężkie czasy zmuszają ich do zamieszkania u Freda i Wilmy. Czy ich przyjaźń przetrwa? Dowiesz się tego z tej zabawnej książeczki, bogato ilustrowanej kolorowymi zdjęciami z filmu. ","
Big time in Bedrock ","
1994-01-01 ","
1994-01-01 ","
24 ","
polski ","
Przemysław Bandel ","

Książkowa wersja filmu fabularnego o Fredzie, Barneyu i ich rodzinach. 

 Książkowa wersja filmu fabularnego o Fredzie, Barneyu i ich rodzinach. 



Pokaż mimo to


",
